"","EH_ID","Strain","HybridStatus","primary","challenge","labels","dpi","weight","weight_dpi0","Wchange","fecweight","oocyst_1","oocyst_2","oocyst_3","oocyst_4","average","OPG","comment","volume_PBS_mL","totalOocysts","infHistory"
"119","LM_0248","STRA_SCHUNT","outbred hybrids","E88","E64","E7aQTX",3,22.06,23.46,94.03,1.57,0,0,0,0,0,0,NA,1,0,"E88:E64"
"120","LM_0248","STRA_SCHUNT","outbred hybrids","E88","E64","E7aAPS",8,20.58,23.46,87.72,2.5,0,2,0,2,1,4000,NA,1,10000,"E88:E64"
"121","LM_0248","STRA_SCHUNT","outbred hybrids","E88","E64","E7aFQX",6,20.95,23.46,89.3,1.74,122,97,146,144,127.25,731321.83908046,NA,1,1272500,"E88:E64"
"122","LM_0248","STRA_SCHUNT","outbred hybrids","E88","E64","E7aAFN",1,23.14,23.46,98.64,0.92,0,0,0,0,0,0,NA,1,0,"E88:E64"
"123","LM_0248","STRA_SCHUNT","outbred hybrids","E88","E64","E7aAFY",0,23.46,23.46,100,0.67,0,0,0,0,0,0,NA,1,0,"E88:E64"
"124","LM_0248","STRA_SCHUNT","outbred hybrids","E88","E64","E7aKOX",7,21.72,23.46,92.58,1.32,15,16,13,21,16.25,123106.060606061,NA,1,162500,"E88:E64"
"125","LM_0248","STRA_SCHUNT","outbred hybrids","E88","E64","E7aAMX",5,22.23,23.46,94.76,2.06,64,58,60,62,61,296116.504854369,NA,1,610000,"E88:E64"
"126","LM_0248","STRA_SCHUNT","outbred hybrids","E88","E64","E7aFJR",2,22.28,23.46,94.97,1,0,0,0,0,0,0,NA,1,0,"E88:E64"
"127","LM_0249","SCHUNT_STRA","outbred hybrids","E88","E64","E7aASZ",0,26.1,26.1,100,0.74,0,0,0,0,0,0,NA,1,0,"E88:E64"
"128","LM_0249","SCHUNT_STRA","outbred hybrids","E88","E64","E7aLNU",3,25.92,26.1,99.31,1.86,0,0,0,0,0,0,NA,1,0,"E88:E64"
"129","LM_0249","SCHUNT_STRA","outbred hybrids","E88","E64","E7aIMU",1,26.09,26.1,99.96,1.62,0,0,0,0,0,0,NA,1,0,"E88:E64"
"130","LM_0249","SCHUNT_STRA","outbred hybrids","E88","E64","E7aPSV",8,24.4,26.1,93.49,2.71,1,0,1,1,0.75,2767.52767527675,NA,1,7500,"E88:E64"
"131","LM_0249","SCHUNT_STRA","outbred hybrids","E88","E64","E7aMPU",4,25.53,26.1,97.82,3.25,0,0,0,0,0,0,NA,1,0,"E88:E64"
"132","LM_0249","SCHUNT_STRA","outbred hybrids","E88","E64","E7aGWZ",5,24.36,26.1,93.33,1.7,20,23,36,32,27.75,163235.294117647,NA,1,277500,"E88:E64"
"133","LM_0249","SCHUNT_STRA","outbred hybrids","E88","E64","E7aFMR",2,26.2,26.1,100.38,1.15,0,0,0,0,0,0,NA,1,0,"E88:E64"
"134","LM_0249","SCHUNT_STRA","outbred hybrids","E88","E64","E7aCLV",7,24.55,26.1,94.06,1.12,8,10,6,5,7.25,64732.1428571428,NA,1,72500,"E88:E64"
"135","LM_0249","SCHUNT_STRA","outbred hybrids","E88","E64","E7aANV",6,23.77,26.1,91.07,1.3,27,39,39,43,37,284615.384615385,NA,1,370000,"E88:E64"
"136","LM_0251","STRA_BUSNA","inter subsp. hybrids","E88","E88","E7aEOT",8,21.84,23.16,94.3,1.32,0,0,0,0,0,0,NA,1,0,"E88:E88"
"137","LM_0251","STRA_BUSNA","inter subsp. hybrids","E88","E88","E7aMRZ",7,22.66,23.16,97.84,1.12,0,0,0,0,0,0,NA,1,0,"E88:E88"
"138","LM_0251","STRA_BUSNA","inter subsp. hybrids","E88","E88","E7aAMS",4,23.05,23.16,99.53,2.01,0,0,0,0,0,0,NA,1,0,"E88:E88"
"139","LM_0251","STRA_BUSNA","inter subsp. hybrids","E88","E88","E7aGLO",3,22.36,23.16,96.55,1.98,0,0,0,0,0,0,NA,1,0,"E88:E88"
