"","challenge","CXCR3","delta","dpi","EH_ID","Eim_MC","faeces_weight","IFNy_CEWE","IFNy_FEC","IL.12","infHistory","IRG6","labels","OPG","primary","weight","weight_dpi0","Wchange","HybridStatus","Strain","EXP"
"96","E88",NA,NA,6,"LM_0338",NA,0.7,NA,264.226489898267,NA,"E64:E88",NA,"P3aZTI",514285.714285714,"E64",45.3,51.3,88.3040935672515,NA,"SWISS","P3"
"97","E64",NA,NA,5,"LM_0336",NA,0.67,NA,NA,NA,"E88:E64",NA,"P3bAGV",649253.731343284,"E88",46,52.3,95.4110898661568,NA,"SWISS","P3"
"98","UNI",NA,NA,6,"LM_0337",NA,1.59,NA,NA,NA,"E88:UNI",NA,"P3bAHV",0,"E88",44.4,44.9,98.8864142538975,NA,"SWISS","P3"
"99","E64",NA,NA,3,"LM_0342",NA,1.87,NA,NA,NA,"E139:E64",NA,"P3bBPM",8021.39037433155,"E139",51.2,55.6,94.2446043165468,NA,"SWISS","P3"
"100","E88",NA,NA,7,"LM_0341",NA,1.98,NA,NA,NA,"E139:E88",NA,"P3bBPO",540404.04040404,"E139",54.5,58.1,93.8037865748709,NA,"SWISS","P3"
"101","E64",NA,NA,5,"LM_0339",NA,1.11,NA,NA,NA,"E64:E64",NA,"P3bBUX",445945.945945946,"E64",44.7,48.5,95.2577319587629,NA,"SWISS","P3"
"102","E88",NA,NA,7,"LM_0332",NA,2.9,NA,NA,NA,"Eflab:E88",NA,"P3bCRA",32758.6206896552,"Eflab",49.8,51.3,97.0760233918129,NA,"SWISS","P3"
"103","E64",NA,NA,5,"LM_0333",NA,1.69,NA,NA,NA,"Eflab:E64",NA,"P3bDGY",162721.893491124,"Eflab",47.4,50,97,NA,"SWISS","P3"
"104","UNI",NA,NA,5,"LM_0346",NA,1.04,NA,NA,NA,"UNI:UNI",NA,"P3bEFI",19230.7692307692,"UNI",52.1,53.2,98.3082706766917,NA,"SWISS","P3"
"105","UNI",NA,NA,7,"LM_0340",NA,1.67,NA,NA,NA,"E64:UNI",NA,"P3bFPD",5988.02395209581,"E64",50.9,53.6,94.9626865671642,NA,"SWISS","P3"
"106","E64",NA,NA,4,"LM_0345",NA,2.13,NA,NA,NA,"UNI:E64",NA,"P3bHYO",23474.1784037559,"UNI",56.7,59.2,97.8040540540541,NA,"SWISS","P3"
"107","E64",NA,NA,4,"LM_0336",NA,2.12,NA,NA,NA,"E88:E64",NA,"P3bINX",0,"E88",49.9,52.3,91.9694072657744,NA,"SWISS","P3"
"108","E64",NA,NA,3,"LM_0336",NA,1.81,NA,NA,NA,"E88:E64",NA,"P3bIPY",0,"E88",48.1,52.3,95.9847036328872,NA,"SWISS","P3"
"109","E64",NA,NA,4,"LM_0342",NA,2.74,NA,NA,NA,"E139:E64",NA,"P3bJAH",1824.81751824818,"E139",52.2,55.6,92.0863309352518,NA,"SWISS","P3"
"110","UNI",NA,NA,6,"LM_0343",NA,2.02,NA,NA,NA,"E139:UNI",NA,"P3bJVY",0,"E139",54.3,56.5,96.1061946902655,NA,"SWISS","P3"
"111","UNI",NA,NA,7,"LM_0343",NA,2.25,NA,NA,NA,"E139:UNI",NA,"P3bLAV",0,"E139",54,56.5,95.5752212389381,NA,"SWISS","P3"
"112","E64",NA,NA,6,"LM_0339",NA,0.88,NA,NA,NA,"E64:E64",NA,"P3bLBS",198863.636363636,"E64",44.1,48.5,90.9278350515464,NA,"SWISS","P3"
"113","UNI",NA,NA,6,"LM_0340",NA,1.72,NA,NA,NA,"E64:UNI",NA,"P3bLCA",0,"E64",51.2,53.6,95.5223880597015,NA,"SWISS","P3"
"114","E64",NA,NA,6,"LM_0345",NA,1,NA,NA,NA,"UNI:E64",NA,"P3bLFC",1130000,"UNI",55.3,59.2,93.4121621621621,NA,"SWISS","P3"
"115","UNI",NA,NA,5,"LM_0343",NA,1.8,NA,NA,NA,"E139:UNI",NA,"P3bLOR",0,"E139",54.6,56.5,97.5221238938053,NA,"SWISS","P3"
"116","E88",NA,NA,7,"LM_0347",NA,2.57,NA,NA,NA,"E88:E88",NA,"P3bLSG",0,"E88",63,69.1,91.1722141823444,NA,"SWISS","P3"
"117","E64",NA,NA,6,"LM_0333",NA,0.97,NA,NA,NA,"Eflab:E64",NA,"P3bMUY",690721.649484536,"Eflab",46.3,50,92.6,NA,"SWISS","P3"
"118","UNI",NA,NA,5,"LM_0337",NA,1.58,NA,NA,NA,"E88:UNI",NA,"P3bNSX",0,"E88",44.2,44.9,96.6592427616927,NA,"SWISS","P3"
"119","E64",NA,NA,6,"LM_0336",NA,0.78,NA,NA,NA,"E88:E64",NA,"P3bNYU",160256.41025641,"E88",44.4,52.3,84.8948374760994,NA,"SWISS","P3"
"120","E64",NA,NA,5,"LM_0345",NA,2.02,NA,NA,NA,"UNI:E64",NA,"P3bOKR",445544.554455446,"UNI",57.9,59.2,95.777027027027,NA,"SWISS","P3"
"121","UNI",NA,NA,7,"LM_0335",NA,2.44,NA,NA,NA,"E88:UNI",NA,"P3bONI",0,"E88",46,47,97.8723404255319,NA,"SWISS","P3"
"122","UNI",NA,NA,7,"LM_0334",NA,1.59,NA,NA,NA,"Eflab:UNI",NA,"P3bOYV",NA,"Eflab",46.2,47.3,97.6744186046512,NA,"SWISS","P3"
"123","E64",NA,NA,4,"LM_0333",NA,1.84,NA,NA,NA,"Eflab:E64",NA,"P3bPFK",0,"Eflab",48.5,50,98,NA,"SWISS","P3"
"124","UNI",NA,NA,7,"LM_0337",NA,1.49,NA,NA,NA,"E88:UNI",NA,"P3bQAP",10067.1140939597,"E88",43.9,44.9,97.7728285077951,NA,"SWISS","P3"
"125","UNI",NA,NA,6,"LM_0334",NA,2.25,NA,NA,NA,"Eflab:UNI",NA,"P3bQIT",0,"Eflab",47,47.3,99.3657505285412,NA,"SWISS","P3"
"126","UNI",NA,NA,5,"LM_0340",NA,1.37,NA,NA,NA,"E64:UNI",NA,"P3bQOV",0,"E64",52.3,53.6,98.5074626865672,NA,"SWISS","P3"
"127","UNI",NA,NA,5,"LM_0334",NA,1.6,NA,NA,NA,"Eflab:UNI",NA,"P3bQTR",3125,"Eflab",46.9,47.3,98.3086680761099,NA,"SWISS","P3"
"128","UNI",NA,NA,6,"LM_0335",NA,1.51,NA,NA,NA,"E88:UNI",NA,"P3bRMA",0,"E88",46.3,47,98.5106382978723,NA,"SWISS","P3"
"129","E64",NA,NA,4,"LM_0339",NA,1.65,NA,NA,NA,"E64:E64",NA,"P3bSNM",0,"E64",46.2,48.5,95.4639175257732,NA,"SWISS","P3"
"130","E64",NA,NA,3,"LM_0333",NA,3.18,NA,NA,NA,"Eflab:E64",NA,"P3bTMN",0,"Eflab",49,50,97.8,NA,"SWISS","P3"
"131","E64",NA,NA,3,"LM_0339",NA,1.73,NA,NA,NA,"E64:E64",NA,"P3bVEO",0,"E64",46.3,48.5,97.7319587628866,NA,"SWISS","P3"
"132","UNI",NA,NA,7,"LM_0346",NA,1.66,NA,NA,NA,"UNI:UNI",NA,"P3bVLZ",0,"UNI",51.2,53.2,96.2406015037594,NA,"SWISS","P3"
"133","E88",NA,NA,7,"LM_0338",NA,1.48,NA,NA,NA,"E64:E88",NA,"P3bXMO",77702.7027027027,"E64",49.5,50.2,98.605577689243,NA,"SWISS","P3"
"134","E64",NA,NA,3,"LM_0345",NA,3.55,NA,NA,NA,"UNI:E64",NA,"P3bXXV",0,"UNI",57.9,59.2,95.4391891891892,NA,"SWISS","P3"
"135","UNI",NA,NA,6,"LM_0346",NA,1.08,NA,NA,NA,"UNI:UNI",NA,"P3bXYA",0,"UNI",51.2,53.2,96.2406015037594,NA,"SWISS","P3"
"136","E64",NA,NA,6,"LM_0342",NA,1.21,NA,NA,NA,"E139:E64",NA,"P3bYVL",148760.330578512,"E139",48.5,55.6,87.2302158273381,NA,"SWISS","P3"
"137","E64",NA,NA,5,"LM_0342",NA,1.9,NA,NA,NA,"E139:E64",NA,"P3bZBW",250000,"E139",50.1,55.6,93.8848920863309,NA,"SWISS","P3"
"138","UNI",NA,NA,5,"LM_0335",NA,1.49,NA,NA,NA,"E88:UNI",NA,"P3bZGF",0,"E88",46.4,47,98.5106382978723,NA,"SWISS","P3"
"139","E64",NA,NA,2,"LM_0227",NA,1.09,NA,NA,NA,"E88:E64",NA,"E7aALV",0,NA,23.75,23.86,99.54,"inter subsp. hybrids","BUSNA_STRA","E7"
"140","E64",NA,NA,7,"LM_0227",NA,1.68,NA,8.75517711765294,NA,"E88:E64",NA,"E7aAUZ",145833.333333333,NA,23.24,23.86,97.4,"inter subsp. hybrids","BUSNA_STRA","E7"
"141","E64",NA,NA,4,"LM_0227",NA,2.23,NA,NA,NA,"E88:E64",NA,"E7aELZ",0,NA,22.88,23.86,95.89,"inter subsp. hybrids","BUSNA_STRA","E7"
"142","E64",NA,NA,1,"LM_0227",NA,0.76,NA,NA,NA,"E88:E64",NA,"E7aFJW",0,NA,23.8,23.86,99.75,"inter subsp. hybrids","BUSNA_STRA","E7"
