labels,EH_ID,dpi,weight,weight_dpi0,weightloss,fecweight,Expe,Eimeria,,
IVZ,LM0193,4,15.95,16.4,2.743902439,"0,58",Expe005_1a,E88,,
KNX,LM0194,4,19.48,20.37,4.3691703486,"0,95",Expe005_1a,E88,,
JVY,LM0195,4,17.23,16.88,-2.0734597156,"1,41",Expe005_1a,E88,,
EMV,LM0196,4,21.69,22.5,3.6,"1,69",Expe005_1a,E88,,
BFO,LM0197,4,22.06,21.35,-3.3255269321,"1,82",Expe005_1a,E88,,
DEZ,LM0198,4,18.42,17.65,-4.3626062323,"1,62",Expe005_1a,E88,,
FOT,LM0199,4,27.73,26.85,-3.2774674115,"1,55",Expe005_1a,E88,,
CQV,LM0200,4,25.05,22.32,-12.2311827957,"3,38",Expe005_1a,E88,,
AUY,LM0201,4,23.58,21.75,-8.4137931034,"1,52",Expe005_1a,E88,,
DEN,LM0202,4,17.73,17.68,-0.2828054299,"2,98",Expe005_1a,E88,,
EGO,LM0203,4,21.38,20.26,-5.5281342547,"1,21",Expe005_1a,E88,,
VXY,LM0179,5,19.22,18.93,-1.5319598521,"1,90",Expe005_1a,E88,,
LMW,LM0180,5,23.92,24.1,0.7468879668,"1,07",Expe005_1a,E88,,
KMS,LM0181,5,16.91,17.5,3.3714285714,"1,28",Expe005_1a,E88,,
JMY,LM0182,5,17.37,16.94,-2.5383707202,"2,51",Expe005_1a,E88,,
EKQ,LM0183,5,16.87,17.08,1.2295081967,"1,30",Expe005_1a,E88,,
OPZ,LM0184,5,21.96,22.8,3.6842105263,"1,44",Expe005_1a,E88,,
CKR,LM0185,5,20.26,20.1,-0.7960199005,"1,73",Expe005_1a,E88,,
BQY,LM0186,5,18.45,18.1,-1.9337016575,"1,06",Expe005_1a,E88,,
MOU,LM0187,5,16.07,16.71,3.8300418911,"0,89",Expe005_1a,E88,,
AOV,LM0188,5,19.99,20.6,2.9611650485,"2,42",Expe005_1a,E88,,
CKY,LM0189,5,16.68,17.03,2.0551967117,"1,02",Expe005_1a,E88,,
CEP,LM0190,5,15.45,15.55,0.6430868167,"1,15",Expe005_1a,E88,,
HLZ,LM0191,5,22.23,21.97,-1.1834319527,"1,59",Expe005_1a,E88,,
EHX,LM0192,5,21.13,21.06,-0.3323836657,"2,07",Expe005_1a,E88,,
AGS,LM0193,5,15.57,16.4,5.0609756098,"0,97",Expe005_1a,E88,,
JLQ,LM0194,5,19.48,20.37,4.3691703486,"1,19",Expe005_1a,E88,,
PTV,LM0195,5,17.13,16.88,-1.481042654,"1,65",Expe005_1a,E88,,
FGP,LM0196,5,21.81,22.5,3.0666666667,"1,89",Expe005_1a,E88,,
HJL,LM0197,5,21.86,21.35,-2.3887587822,"1,40",Expe005_1a,E88,,
MTY,LM0198,5,17.63,17.65,0.1133144476,"2,08",Expe005_1a,E88,,
FOQ,LM0199,5,27.66,26.85,-3.0167597765,"1,87",Expe005_1a,E88,,
ETW,LM0200,5,25.79,22.32,-15.5465949821,"3,19",Expe005_1a,E88,,
AOZ,LM0201,5,22.67,21.75,-4.2298850575,"2,64",Expe005_1a,E88,,
DFG,LM0202,5,19.19,17.68,-8.5407239819,"1,09",Expe005_1a,E88,,
HTU,LM0203,5,21.79,20.26,-7.5518262586,"1,38",Expe005_1a,E88,,
RVX,LM0179,6,19.34,18.93,-2.1658742736,0.85,Expe005_1a,E88,soft feces,
KWY,LM0180,6,23.66,24.1,1.8257261411,0.88,Expe005_1a,E88,,
JLY,LM0181,6,17.48,17.5,0.1142857143,0.87,Expe005_1a,E88,,
JRS,LM0182,6,17.72,16.94,-4.6044864227,0.96,Expe005_1a,E88,,
DSY,LM0183,6,16.73,17.08,2.0491803279,0.8,Expe005_1a,E88,,
SYZ,LM0184,6,21.32,22.8,6.4912280702,0.85,Expe005_1a,E88,,
EFU,LM0185,6,20.14,20.1,-0.1990049751,1.32,Expe005_1a,E88,,
EJM,LM0186,6,18.31,18.1,-1.1602209945,0.94,Expe005_1a,E88,,
FPR,LM0187,6,15.5,16.71,7.2411729503,0.64,Expe005_1a,E88,,
EOU,LM0188,6,20.1,20.6,2.427184466,1.34,Expe005_1a,E88,,
ABV,LM0189,6,16.2,17.03,4.873752202,0.67,Expe005_1a,E88,,
NSZ,LM0190,6,15.21,15.55,2.1864951768,0.93,Expe005_1a,E88,,
AJO,LM0191,6,21.73,21.97,1.0923987255,1.17,Expe005_1a,E88,,
DMO,LM0192,6,20.95,21.06,0.522317189,1.08,Expe005_1a,E88,,
DJP,LM0193,6,14.94,16.4,8.9024390244,0.83,Expe005_1a,E88,,
AMY,LM0194,6,19.39,20.37,4.8109965636,1.02,Expe005_1a,E88,,
DGU,LM0195,6,17.01,16.88,-0.7701421801,1.15,Expe005_1a,E88,,
INP,LM0196,6,20.93,22.5,6.9777777778,1.85,Expe005_1a,E88,,
ABU,LM0197,6,22.02,21.35,-3.1381733021,1.83,Expe005_1a,E88,,
TXY,LM0198,6,17.91,17.65,-1.4730878187,1.36,Expe005_1a,E88,,
IMQ,LM0199,6,27.48,26.85,-2.3463687151,1.22,Expe005_1a,E88,,
LMV,LM0200,6,26.37,22.32,-18.1451612903,4.53,Expe005_1a,E88,,
BES,LM0201,6,22.79,21.75,-4.7816091954,2.04,Expe005_1a,E88,fur shaggy/not well groomed,
BIK,LM0202,6,17.68,17.68,0,1.85,Expe005_1a,E88,,
CPT,LM0203,6,22.02,20.26,-8.6870681145,1.58,Expe005_1a,E88,,
BEJ,LM0179,7,18.41,18.93,2.7469624934,0.74,Expe005_1a,E88,,
QRU,LM0180,7,23.32,24.1,3.2365145228,1.01,Expe005_1a,E88,,
INV,LM0181,7,16.03,17.5,8.4,0.93,Expe005_1a,E88,,
FSW,LM0182,7,17.37,16.94,-2.5383707202,1.61,Expe005_1a,E88,,
