labels,EH_ID,dpi,oocyst_1,oocyst_2,oocyst_3,oocyst_4,average,OPG,comment,volume_PBS_mL,batch
BTZ,LM0270,4,0,0,0,0,0,,,1,b
CEK,LM0277,8,0,0,0,0,0,,,1,b
CER,LM0289,3,0,0,0,0,0,,,1,b
CFU,LM0293,6,0,0,0,0,0,,,1,b
CFV,LM0262,2,0,0,0,0,0,,,1,b
CGI,LM0295,2,0,0,0,0,0,,,1,b
CGR,LM0283,4,0,0,0,0,0,,,1,b
CHL,LM0294,0,0,0,0,0,0,,,1,b
CHM,LM0263,5,29,34,31,33,31.75,,,1,b
CHZ,LM0285,3,0,0,0,0,0,,,1,b
CIM,LM0278,5,0,0,0,0,0,,plus 1ml PBS,2,b
CIW,LM0288,8,0,0,0,0,0,,,1,b
CKS,LM0272,2,0,0,0,0,0,,,1,b
CKT,LM0260,0,0,0,0,0,0,,,1,b
CLV,LM0285,6,30,23,28,21,25.5,,,1,b
CLX,LM0273,3,0,0,0,0,0,,,1,b
CMQ,LM0285,4,0,0,0,0,0,,,1,b
COP,LM0288,0,0,0,0,0,0,,,1,b
COW,LM0295,8,1,1,0,0,0.5,,,1,b
CPW,LM0291,7,33,25,20,22,25,,,1,b
CRV,LM0285,0,0,0,0,0,0,,,1,b
CRX,LM0284,2,0,0,0,0,0,,,1,b
CTU,LM0272,4,0,0,0,0,0,,,1,b
CWZ,LM0286,8,0,0,0,0,0,,,1,b
DEK,LM0295,0,0,0,0,0,0,,,1,b
DFL,LM0287,1,0,0,0,0,0,,,1,b
DFQ,LM0286,2,0,0,0,0,0,,,1,b
DGQ,LM0286,1,0,0,0,0,0,,,1,b
DHI,LM0263,2,0,0,0,0,0,,,1,b
DHV,LM0288,2,0,0,0,0,0,,plus 1ml PBS,2,b
DHY,LM0278,6,0,0,0,0,0,,,1,b
DIP,LM0289,0,0,0,0,0,0,,,1,b
DIS,LM0273,7,0,0,0,0,0,,,1,b
DKM,LM0265,0,0,0,0,0,0,,,1,b
DKV,LM0286,3,0,0,0,0,0,,,1,b
DMR,LM0295,3,0,0,0,0,0,,,1,b
DMZ,LM0291,5,30,42,52,42,41.5,,,1,b
DRT,LM0295,4,0,0,0,0,0,,,1,b
DTU,LM0278,8,0,0,0,0,0,,,1,b
DTV,LM0276,7,0,0,0,0,0,,,1,b
DUY,LM0286,7,0,0,0,0,0,,,1,b
DVW,LM0280,7,0,7,1,3,2.75,,,1,b
EFU,LM0277,7,0,0,0,0,0,,,1,b
EGK,LM0292,0,0,0,0,0,0,,,1,b
EHI,LM0292,2,0,0,0,0,0,,,1,b
EHR,LM0276,5,0,0,0,0,0,,plus 1ml PBS,2,b
EIS,LM0265,3,0,0,0,0,0,,,1,b
EIV,LM0269,2,0,0,0,0,0,,,1,b
EJO,LM0292,6,0,0,0,0,0,,,1,b
EKV,LM0270,7,4,4,4,1,3.25,,,1,b
ELQ,LM0277,0,0,0,0,0,0,,,1,b
ELU,LM0287,2,0,0,0,0,0,,,1,b
EMP,LM0291,1,0,0,0,0,0,,,1,b
EPQ,LM0287,4,0,0,0,0,0,,,1,b
ESY,LM0276,3,0,0,0,0,0,,,1,b
EWX,LM0272,1,0,0,0,0,0,,,1,b
FGH,LM0295,7,6,3,5,3,4.25,,,1,b
FGW,LM0265,4,0,0,0,0,0,,,1,b
FGZ,LM0282,4,0,0,0,0,0,,,1,b
FHK,LM0262,7,2,0,1,1,1,,,1,b
FIJ,LM0288,6,0,0,0,0,0,,,1,b
FJN,LM0283,2,0,0,0,0,0,,,1,b
FJY,LM0280,2,0,0,0,0,0,,,1,b
FLN,LM0294,8,1,4,4,6,3.75,,,1,b
FLY,LM0287,7,0,3,3,4,2.5,,,1,b
FMN,LM0284,1,0,0,0,0,0,,,1,b
FMV,LM0284,3,0,0,0,0,0,,,1,b
FNS,LM0289,7,0,0,0,0,0,,,1,b
FPV,LM0279,8,0,2,0,0,0.5,,,1,b
FRU,LM0282,8,0,0,0,0,0,,,1,b
FXZ,LM0291,4,0,0,0,0,0,,,1,b
GHL,LM0292,7,0,0,0,0,0,,,1,b
GHV,LM0260,8,0,0,0,0,0,,,1,b
GIR,LM0291,0,0,0,0,0,0,,,1,b
GIT,LM0260,4,0,0,0,0,0,,,1,b
GLS,LM0282,1,0,0,0,0,0,,,1,b
GPR,LM0269,5,3,5,3,8,4.75,,,1,b
GPT,LM0275,1,0,0,0,0,0,,,1,b
GQU,LM0270,0,0,0,0,0,0,,,1,b
GSV,LM0265,7,2,2,3,4,2.75,,,1,b
GTV,LM0273,2,0,0,0,0,0,,,1,b
GVY,LM0278,4,0,0,0,0,0,,,1,b
GXY,LM0286,0,0,0,0,0,0,,,1,b
HIY,LM0279,1,0,0,0,0,0,,plus 1ml PBS,2,b
HJW,LM0269,1,0,0,0,0,0,,,1,b
HKN,LM0280,4,0,0,0,0,0,,,1,b
HKS,LM0262,1,0,0,0,0,0,,,1,b
HKV,LM0287,0,0,0,0,0,0,,,1,b
HKX,LM0294,6,10,9,14,7,10,,,1,b
HLP,LM0275,6,0,0,0,0,0,,,1,b
HLV,LM0291,3,0,0,0,0,0,,,1,b
HNO,LM0282,6,0,0,0,0,0,,,1,b
HQZ,LM0262,0,0,0,0,0,0,,,1,b
HVX,LM0293,7,0,0,0,0,0,,,1,b
HWY,LM0272,6,0,0,0,0,0,,,1,b
IJP,LM0275,0,0,0,0,0,0,,,1,b
IKL,LM0285,5,31,46,43,34,38.5,,,1,b
IKT,LM0288,7,0,0,0,0,0,,,1,b
ILQ,LM0293,0,0,0,0,0,0,,,1,b
ILR,LM0278,0,0,0,0,0,0,,,1,b
IMP,LM0280,0,0,0,0,0,0,,,1,b
IMQ,LM0265,8,0,0,0,1,0.25,,,1,b
IOZ,LM0282,5,0,0,0,0,0,,,1,b
IQW,LM0269,7,0,2,1,2,1.25,,,1,b
IRU,LM0289,4,0,0,0,0,0,,,1,b
ITX,LM0260,3,0,0,0,0,0,,,1,b
JKZ,LM0260,5,26,24,38,28,29,,,1,b
JMO,LM0283,0,0,0,0,0,0,,,1,b
JNY,LM0293,2,0,0,0,0,0,,,1,b
JOZ,LM0288,4,0,0,0,0,0,,,1,b
JQU,LM0293,8,0,0,0,0,0,,,1,b
JQZ,LM0272,5,0,0,0,0,0,,,1,b
JRZ,LM0263,6,40,28,29,32,32.25,,,1,b
KLQ,LM0284,7,1,4,6,4,3.75,,,1,b
KLT,LM0284,4,0,0,0,0,0,,,1,b
KMP,LM0278,3,0,0,0,0,0,,,1,b
KMQ,LM0270,8,0,0,0,0,0,,,1,b
KOX,LM0284,6,22,24,28,23,24.25,,,1,b
KPU,LM0283,1,0,0,0,0,0,,,1,b
KPZ,LM0273,6,0,0,0,0,0,,,1,b
KQW,LM0273,8,0,0,0,0,0,,,1,b
KQZ,LM0289,2,0,0,0,0,0,,,1,b
KTZ,LM0294,5,31,37,27,32,31.75,,,1,b
LMS,LM0287,5,18,17,16,29,20,,,1,b
LMV,LM0278,1,0,0,0,0,0,,,1,b
LMZ,LM0263,8,4,8,1,7,5,,,1,b
LNO,LM0263,0,0,0,0,0,0,,,1,b
LNT,LM0279,7,20,18,18,16,18,,,1,b
LOR,LM0284,0,0,0,0,0,0,,,1,b
LOT,LM0269,8,0,0,0,0,0,,,1,b
LPQ,LM0294,4,0,0,0,0,0,,,1,b
LPW,LM0288,1,0,0,0,0,0,,,1,b
LPZ,LM0284,5,22,30,6,16,18.5,,,1,b
LQU,LM0280,5,0,1,0,0,0.25,,,1,b
LQW,LM0272,3,0,0,0,0,0,,,1,b
LRS,LM0284,8,0,0,1,0,0.25,,,1,b
LVZ,LM0272,7,0,0,0,0,0,,,1,b
LYZ,LM0283,8,0,0,0,0,0,,,1,b
MNP,LM0269,3,0,0,0,0,0,,,1,b
MNW,LM0275,8,0,0,0,0,0,,,1,b
MOR,LM0292,8,0,0,0,0,0,,,1,b
MPW,LM0273,5,0,0,0,0,0,,,1,b
MQS,LM0278,7,0,0,0,0,0,,,1,b
MRZ,LM0280,8,0,0,0,0,0,,,1,b
NOQ,LM0294,3,0,0,0,0,0,,,1,b
NOU,LM0275,5,0,0,0,0,0,,,1,b
NOY,LM0279,6,28,22,12,20,20.5,,,1,b
NPW,LM0263,7,7,7,5,6,6.25,,,1,b
NPX,LM0286,5,0,0,0,0,0,,plus 1ml PBS,2,b
NPY,LM0287,6,8,13,11,23,13.75,,,1,b
NRU,LM0270,6,16,4,5,7,8,,,1,b
NRV,LM0262,3,0,0,0,0,0,,,1,b
NSX,LM0262,6,12,7,11,11,10.25,,,1,b
NTU,LM0260,7,0,0,0,0,0,,,1,b
NUW,LM0289,6,0,0,0,0,0,,,1,b
NUY,LM0295,6,44,34,38,45,40.25,,,1,b
NXY,LM0280,3,0,0,0,0,0,,,1,b
OSX,LM0273,1,0,0,0,0,0,,,1,b
OSY,LM0280,1,0,0,0,0,0,,,1,b
OSZ,LM0270,1,0,0,0,0,0,,,1,b
PQT,LM0276,0,0,0,0,0,0,,,1,b
PQY,LM0265,1,0,0,0,0,0,,plus 1ml PBS,2,b
PQZ,LM0294,7,30,33,29,25,29.25,,,1,b
PRZ,LM0287,8,0,0,0,1,0.25,,,1,b
PSV,LM0289,8,0,0,0,0,0,,,1,b
PVX,LM0291,6,53,49,78,80,65,,,1,b
PVZ,LM0276,4,0,0,0,0,0,,,1,b
PXY,LM0291,2,0,0,0,0,0,,,1,b
QRS,LM0283,5,0,0,0,0,0,,,1,b
QRT,LM0263,3,0,0,0,0,0,,,1,b
QSV,LM0279,3,0,0,0,0,0,,,1,b
QVX,LM0278,2,0,0,0,0,0,,plus 1ml PBS,2,b
RSU,LM0260,1,0,0,0,0,0,,,1,b
RSW,LM0294,1,0,0,0,0,0,,,1,b
RTX,LM0260,2,0,0,0,0,0,,,1,b
RWX,LM0282,2,0,0,0,0,0,,,1,b
RWZ,LM0282,0,0,0,0,0,0,,,1,b
RXZ,LM0276,6,0,0,0,0,0,,plus 1ml PBS,2,b
STZ,LM0279,2,0,0,0,0,0,,plus 1ml PBS,2,b
SUZ,LM0269,4,0,0,0,0,0,,,1,b
SWZ,LM0277,4,0,0,0,0,0,,plus 1ml PBS,2,b
SXY,LM0292,4,0,0,0,0,0,,,1,b
SYZ,LM0292,3,0,0,0,0,0,,,1,b
UWZ,LM0275,3,0,0,0,0,0,,,1,b
