labels,EH_ID,dpi,weight,weight_dpi0,weightloss,weightRelativeToInfection,fecweight,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,oocyst_mean,dilution,OPG
KMO,LM0239,4,,,0,#DIV/0!,,,,,,,,
EHL,LM0246,4,,,0,#DIV/0!,,,,,,,,
GOV,LM0247,4,,,0,#DIV/0!,,,,,,,,
AMS,LM0251,4,,,0,#DIV/0!,,,,,,,,
DMP,LM0254,4,,,0,#DIV/0!,,,,,,,,
JRX,LM0256,4,,,0,#DIV/0!,,,,,,,,
CFZ,LM0261,4,,,0,#DIV/0!,,,,,,,,
IJR,LM0264,4,,,0,#DIV/0!,,,,,,,,
FLN,LM0266,4,,,0,#DIV/0!,,,,,,,,
DGZ,LM0268,4,,,0,#DIV/0!,,,,,,,,
AGI,LM0271,4,,,0,#DIV/0!,,,,,,,,
CTU,LM0272,4,,,0,#DIV/0!,,,,,,,,
BQV,LM0273,4,,,0,#DIV/0!,,,,,,,,
ABL,LM0275,4,,,0,#DIV/0!,,,,,,,,
PVZ,LM0276,4,,,0,#DIV/0!,,,,,,,,
SWZ,LM0277,4,,,0,#DIV/0!,,,,,,,,
GVY,LM0278,4,,,0,#DIV/0!,,,,,,,,
MPV,LM0281,4,,,0,#DIV/0!,,,,,,,,
FGZ,LM0282,4,,,0,#DIV/0!,,,,,,,,
CGR,LM0283,4,,,0,#DIV/0!,,,,,,,,
BNT,LM0286,4,,,0,#DIV/0!,,,,,,,,
JOZ,LM0288,4,,,0,#DIV/0!,,,,,,,,
IRU,LM0289,4,,,0,#DIV/0!,,,,,,,,
SXY,LM0292,4,,,0,#DIV/0!,,,,,,,,
BNW,LM0293,4,,,0,#DIV/0!,,,,,,,,
RTY,LM0227,5,,,0,#DIV/0!,,,,,,,,
ESW,LM0228,5,,,0,#DIV/0!,,,,,,,,
COV,LM0231,5,,,0,#DIV/0!,,,,,,,,
AEJ,LM0234,5,,,0,#DIV/0!,,,,,,,,
EFL,LM0235,5,,,0,#DIV/0!,,,,,,,,
EQV,LM0236,5,,,0,#DIV/0!,,,,,,,,
KST,LM0238,5,,,0,#DIV/0!,,,,,,,,
MQW,LM0240,5,,,0,#DIV/0!,,,,,,,,
AMX,LM0248,5,,,0,#DIV/0!,,,,,,,,
GWZ,LM0249,5,,,0,#DIV/0!,,,,,,,,
BWZ,LM0255,5,,,0,#DIV/0!,,,,,,,,
TUV,LM0257,5,,,0,#DIV/0!,,,,,,,,
JXZ,LM0258,5,,,0,#DIV/0!,,,,,,,,
