"EH_ID","experiment","mouse_strain","primary_infection","challenge_infection","infection_history","labels","weight","weight_dpi0","relative_weight","feces_weight","dpi","infection","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","dilution","OO4sq","OOC","infection_type","oocyst_mean","OPG"
"LM0228","E57","STRA_BUSNA","E88","E64","E88_E64","E57aISW",20.87,18.56,112.446120689655,0,3,"primary",NA,NA,NA,NA,1,NA,NA,"primary_E88",NA,NA
"LM0228","E57","STRA_BUSNA","E88","E64","E88_E64","E57aIQU",18.26,18.56,98.3836206896552,0.4,9,"primary",17,13,12,22,1,64,160000,"primary_E88",NA,NA
"LM0228","E57","STRA_BUSNA","E88","E64","E88_E64","E57aFRW",18.56,18.56,100,0.8,0,"primary",0,3,4,8,1,15,37500,"primary_E88",NA,NA
"LM0228","E57","STRA_BUSNA","E88","E64","E88_E64","E57bxCWZ",24.85,21.23,117.051342439943,1.69,3,"challenge",0,0,0,0,1,0,0,"heterologous_E64",NA,NA
"LM0228","E57","STRA_BUSNA","E88","E64","E88_E64","E57aAIN",20.35,18.56,109.644396551724,1.03,11,"primary",2,5,3,2,1,12,30000,"primary_E88",NA,NA
"LM0228","E57","STRA_BUSNA","E88","E64","E88_E64","E57aMWY",19.49,18.56,105.010775862069,0,1,"primary",NA,NA,NA,NA,1,NA,NA,"primary_E88",NA,NA
"LM0228","E57","STRA_BUSNA","E88","E64","E88_E64","E57bxLMZ",22.29,21.23,104.992934526613,1.05,6,"challenge",74,92,97,87,1,350,875000,"heterologous_E64",NA,NA
"LM0228","E57","STRA_BUSNA","E88","E64","E88_E64","E57bxBGY",23.5,21.23,110.692416391898,1.13,8,"challenge",13,6,11,6,1,36,90000,"heterologous_E64",NA,NA
"LM0228","E57","STRA_BUSNA","E88","E64","E88_E64","E57bxBJR",24.01,21.23,113.094677343382,1.96,4,"challenge",0,0,0,2,1,2,5000,"heterologous_E64",NA,NA
"LM0228","E57","STRA_BUSNA","E88","E64","E88_E64","E57aANO",18.66,18.56,100.538793103448,0.6,10,"primary",13,7,5,11,1,36,90000,"primary_E88",NA,NA
"LM0228","E57","STRA_BUSNA","E88","E64","E88_E64","E57bxCRZ",24.14,21.23,113.707018370231,1.2,2,"challenge",0,0,0,0,1,0,0,"heterologous_E64",NA,NA
