;Cycle;A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11
;28;-7,90561196672434;3,63589644681724;6,88783346744549;21,4676583644418;-5,35973728639965;35,5663299922439;3,96687301814836;493,503455010036;313,40580220506;287,139175091675;4,0385112907411;-1,8988564464521;-8,00279223835241;0,871648856219053;22,2987242064551;-3,45839014793592;25,8206673899776;-3,21201601224175;1085,16820758365;375,107339640792;319,005982568312;2,53160606728488
;29;-4,84937037651935;-2,98162471481646;-11,0844326899232;43,4154228354128;11,7151094466549;87,1526921266795;19,4571638820494;531,421902885041;373,35671347592;358,405856206337;3,85892003001027;-2,71742353080344;-7,97285720794935;-1,34295861148621;43,2745447307821;4,9746832618398;62,9616944760746;7,01907009352453;1210,67843349522;449,941164526505;393,338244756488;-0,502559762392139
;30;7,00912469326113;-0,78297708026048;-4,85869824406973;104,954982568157;18,8685812317804;176,605997089072;49,7116205128395;564,094665329554;425,886321410311;423,549494373548;-0,754743673803205;3,81924141212221;0,66304167734188;8,07452014952969;84,9886501637448;3,64385240492129;118,931827849568;20,9352234961821;1318,45599818131;521,845302681638;462,008482797746;-3,64169793705423
;31;21,0253307383214;0,678607168224062;-10,3299851435568;220,652727504044;43,7073478742709;318,941120200537;111,214844650018;588,192806947449;477,722898001151;477,829124094398;2,98681214394992;20,5006758144218;-4,13611742319472;32,4011713949849;181,741555756879;29,3528060282833;230,901942572323;56,9031254219431;1402,61093235935;590,551771564696;519,999038560597;-1,01887750426886
;32;57,462673223125;-4,60980673530048;-6,64404798757732;403,113637755494;73,5839549343932;478,851513871184;210,324259663378;608,913586914605;523,993474333116;519,608754866808;7,24130727439751;45,9841097600647;-8,54001296006982;58,4104393672787;348,784481168755;56,1020425699658;405,477020624058;125,253342700935;1471,70450679923;653,188333986989;569,550873502907;0,341980383387636
;33;132,545021206567;7,60177151146081;-8,339460084449;568,509041665654;147,830663829516;626,007519188931;345,840643489582;625,099377217898;561,74704704691;554,309776747677;4,46967847956012;104,9687519512;-7,72028019192157;118,169938970154;562,686443294363;112,995066513714;596,28077267194;237,945341181939;1520,5213973952;699,780876736809;614,751719320505;-1,41508350077993
;34;265,206221332484;15,0245418665536;-8,12666039739543;740,066390449118;289,418428495276;761,71609789063;434,967317510384;637,403819638645;586,68893581413;581,116105552486;0,883361017297375;213,176291011844;-14,3341299421345;227,140372509599;767,194039438874;214,296046895228;770,544897032765;442,466426894358;1556,17194879153;742,557745390477;651,562266691919;0,786599852786367
;35;494,735388204725;37,9590175875001;-2,12480894828104;906,382451024958;503,589661885779;910,990023997105;525,208003754853;645,94963937863;605,692514932679;606,694084298748;2,78262941201456;390,685558859248;-11,7123956785977;388,281924335268;961,969381869008;432,702210123162;947,256289201341;700,549257199821;1588,05492642771;767,17226814881;687,302829924791;-0,668462137419738
;36;730,374255210779;75,3414935525461;0,483006556260079;1058,75116592168;693,348549619305;1048,63227746618;613,251015656193;651,508396807925;618,730761143271;622,074716381774;-0,725810015643674;654,007390686092;1,59464449969255;638,607702578074;1145,73129706359;712,428919150807;1124,54206008262;922,636411820366;1601,74519739617;791,480147748138;711,087420604412;-1,35960296411031
;37;977,42555528017;135,238120468878;-0,186279704762001;1178,22527852644;886,484472141554;1166,81425120331;697,364342400347;657,760189195949;636,326380419163;636,389350640878;4,96374332264213;918,219520551222;-7,74357586754604;877,915823131728;1300,66428271441;988,256295384181;1290,52982116271;1140,71445430237;1630,13680065384;802,989692323727;726,731308393834;2,50027768119253
;38;1214,55188766255;248,278775867375;4,01259676969812;1286,13803067281;1086,28306916062;1247,35153818155;767,4206227786;661,8979658888;650,842652280864;645,327030748937;-0,873799806264742;1178,20329589297;-5,91065670181206;1148,41257170974;1457,34287029303;1281,21965046997;1418,13135911658;1354,70916150676;1638,84432389369;823,705205007416;734,879915708491;0,822073898626968
;39;1439,16910879373;400,187582338044;-0,063674039660782;1404,94539241706;1320,42801088265;1311,63882956695;816,932963431212;668,838476186786;662,674924222601;655,027650099318;-6,19840638577489;1417,97679020866;23,8162947336205;1414,29498226059;1586,88116576041;1527,02074621159;1517,38687611794;1550,33082680467;1659,94230598288;832,986394639877;743,962116514145;2,28790954722899
;40;1645,97448574418;549,372757848827;14,239935990699;1547,5773732554;1561,12991686193;1366,19777071721;856,94498113946;676,186619831331;666,599157954859;661,916909536133;-19,4829689535445;1632,23694504803;42,2551663804315;1684,51495664093;1704,44111159813;1741,81354955979;1604,50201553576;1695,59288664974;1674,68970385298;836,184252601021;759,219608600708;-4,98331027997938
