labels,Fecal_status,Mouse_status,fecweight_DNA,Extraction_round_1,Extraction_round_2,Faeces_for_RNA-Extraction
E57aAUY,,,,,,
E57aAUZ,,,,,,
E57aAVZ,,,,,,
E57aAWY,,,,,,
E57aAYZ,,,,,,Available
E57aBCE,,,0.0509,with_beads,with_beads,
E57aBCJ,,,0.0605,with_beads,with_beads,Available
E57aBCK,,,,,,
E57aBCL,,,,,,
E57aBCM,,,0.0697,with_beads,with_beads,
E57aBCO,,,,,,
E57aBCR,,,0.0504,with_beads,with_beads,
E57aBCS,,,,,,
E57aBCY,,,0.0533,with_beads,with_beads,Available
E57aBDG,,,,,,
E57aBDH,,,,,,
E57aBDL,,,0.0223,with_beads,with_beads,
E57aBDN,,,,,,
E57aBDY,,,,,,
E57aBEH,,,,,,
E57aBEJ,,,0.0248,with_beads,with_beads,
E57aBEO,Diarrhea,,,,,
E57aBES,,,0.0695,with_beads,with_beads,
E57aBEW,,,,,,
E57aBEX,,,,,,
E57aBFG,,,,,,
E57aBFI,,,0.0691,with_beads,with_beads,
E57aBFL,,,,,,
E57aBFO,,,0.0574,with_beads,with_beads,
E57aBFS,,,,,,
E57aBFV,,,,,,Available
E57aBGI,,,0.0680,with_beads,with_beads,Available
E57aBGK,,,,,,
E57aBGL,,,,,,
E57aBGM,,,0.0525,with_beads,with_beads,Available
E57aBGQ,,,,,,Available
E57aBGT,,,,,,
E57aBGU,,,0.0797,no_beads,with_beads,
E57aBHK,,,,,,Available
E57aBHN,,,0.0605,with_beads,with_beads,Available
E57aBHO,,,0.0572,with_beads,with_beads,Available
E57aBHR,,,0.0560,with_beads,with_beads,
E57aBIK,,,0.0101,with_beads,with_beads,
E57aBIL,,,0.1431,with_beads,with_beads,
E57aBIR,,,,,,
E57aBIS,,,,,,
E57aBIX,,,,,,
E57aBJN,,,,,,
E57aBKL,,,,,,
E57aBKN,,,,,,Available
E57aBKQ,,,,,,
E57aBKZ,,,0.0771,with_beads,with_beads,
E57aBLN,,,0.0783,with_beads,with_beads,
E57aBLT,Unavailable,Sacrificed,,,,
E57aBLX,,,0.0568,with_beads,with_beads,
E57aBLZ,,,,,,
E57aBMS,,,,,,
E57aBMX,,,0.0912,with_beads,with_beads,
E57aBNO,,,,,,Available
E57aBNR,,,0.0242,with_beads,with_beads,
E57aBNV,,,0.0667,with_beads,with_beads,
E57aBNX,,,0.0622,with_beads,with_beads,
E57aBOR,,,0.0741,with_beads,with_beads,
E57aBOV,Unavailable,Sacrificed,,,,
E57aBOY,,,,,,
E57aBPQ,,,,,,
E57aBPR,,,,,,
E57aBQU,,,,,,
E57aBQY,,,0.0520,with_beads,with_beads,Available
E57aBQZ,,,0.1006,with_beads,with_beads,
E57aBRZ,,,0.0638,no_beads,no_beads,
E57aBTZ,,,0.1075,with_beads,with_beads,
E57aBUX,,,,,,Available
E57aBUY,,,,,,Available
E57aCDE,,,0.0634,with_beads,with_beads,Available
E57aCDQ,Unavailable,Died,,,,
E57aCDX,Unavailable,Died,,,,Available
E57aCEG,,,0.0867,with_beads,with_beads,
E57aCEH,,,0.0751,with_beads,with_beads,
E57aCEK,,,,,,
E57aCEN,,,,,,Available
E57aCEP,,,0.0525,with_beads,with_beads,
E57aCEW,,,0.0373,with_beads,with_beads,
E57aCFG,,,0.0200,with_beads,with_beads,
E57aCFH,,,,,,
E57aCFJ,,,,,,
E57aCFW,,,0.0620,with_beads,with_beads,
E57aCGH,,,,,,Available
E57aCGI,Soft,,,,,Available
E57aCGR,,,,,,
E57aCGY,,,,,,Available
E57aCHO,,,0.0808,with_beads,with_beads,
E57aCHP,,,,,,
E57aCHR,,,0.0482,with_beads,with_beads,
E57aCHW,,,,,,
E57aCIP,,,0.0640,with_beads,with_beads,Available
E57aCIV,,,,,,
E57aCIW,,,0.0589,with_beads,with_beads,
E57aCIX,,,,,,
E57aCIY,,,,,,
E57aCIZ,Unavailable,Sacrificed,,,,
E57aCJK,,,,,,
E57aCJN,,,,,,
E57aCJO,,,,,,Available
E57aCJQ,,,0.0224,with_beads,with_beads,
E57aCJS,,,,,,Available
E57aCJT,,,,,,
E57aCJY,,,0.0105,with_beads,with_beads,
E57aCKN,,,0.7070,with_beads,with_beads,
E57aCKO,Unavailable,Sacrificed,,,,Available
E57aCKR,,,0.0609,with_beads,with_beads,Available
E57aCKV,,,,,,Available
E57aCKW,,,0.0803,with_beads,with_beads,Available
E57aCKY,,,,,,
E57aCKZ,,,0.1074,with_beads,with_beads,
E57aCLN,,,,,,
E57aCLT,,,0.0602,with_beads,with_beads,
E57aCLV,,,0.0648,no_beads,no_beads,Available
E57aCLZ,,,0.0923,with_beads,with_beads,Available
E57aCMO,,,,,,
E57aCMS,,,,,,
E57aCMU,,,0.0129,with_beads,with_beads,
E57aCMV,Unavailable,Died,,,,
E57aCMW,,,0.1083,no_beads,no_beads,
E57aCMZ,,,,,,
E57aCNP,,,0.0954,with_beads,with_beads,Available
E57aCNS,,,0.0557,with_beads,with_beads,
E57aCNW,,,,,,
E57aCOR,,,,,,Available
E57aCOV,,,0.0765,with_beads,with_beads,
E57aCOW,,,0.0762,no_beads,with_beads,Available
E57aCPT,,,0.0884,with_beads,with_beads,
E57aCPW,,,,,,
E57aCQT,,,0.0524,with_beads,with_beads,
E57aCQU,,,,,,
E57aCQV,,,,,,Available
E57aCQW,,,,,,Available
E57aCQX,,,0.0713,no_beads,no_beads,
E57aCRY,,,,,,
E57aCSX,,,0.0901,with_beads,with_beads,
E57aCSY,,,,,,
E57aCTW,,,,,,
E57aCTX,,,,,,
E57aCTZ,,,0.0707,with_beads,with_beads,
E57aCUX,,,0.0639,with_beads,with_beads,
E57aCXY,,,,,,
E57aDEJ,,,,,,
E57aDEK,,,0.1330,with_beads,with_beads,
E57aDEN,,,,,,Available
E57aDEO,,,,,,
E57aDET,,,0.0908,with_beads,with_beads,
E57aDEW,,,0.0977,with_beads,with_beads,Available
E57aDEY,,,0.0416,with_beads,with_beads,
E57aDEZ,,,0.0601,with_beads,with_beads,
E57aDFG,,,,,,Available
E57aDFM,,,,,,
E57aDFX,,,,,,Available
E57aDFZ,,,,,,
E57aDGJ,,,0.0253,with_beads,with_beads,
E57aDGS,Unavailable,Sacrificed,,,,
E57aDGU,,,0.0620,with_beads,with_beads,
E57aDGX,Unavailable,Died,,,,
E57aDHI,,,,,,
E57aDHM,,,,,,
E57aDHR,,,,,,
E57aDHW,,,,,,Available
E57aDIM,,,,,,
E57aDIN,,,0.0147,with_beads,with_beads,Available
E57aDIS,,,0.1021,with_beads,with_beads,
E57aDIW,,,,,,Available
E57aDIY,Soft,,,,,
E57aDJP,,,0.0251,with_beads,with_beads,Available
E57aDKN,,,,,,
E57aDKQ,,,,,,
E57aDKS,,,,,,
E57aDKZ,,,0.0523,with_beads,with_beads,
E57aDLM,,,,,,
E57aDLX,,Sacrificed,,,,
E57aDLZ,,,,,,Available
E57aDMN,,,,,,
E57aDMO,,,0.0342,with_beads,with_beads,
E57aDMQ,,,,,,
E57aDMT,,,0.0628,with_beads,with_beads,
E57aDMV,,,0.0329,with_beads,with_beads,Available
E57aDMZ,,,0.0470,with_beads,with_beads,Available
E57aDNO,,,,,,
E57aDNX,,,0.0745,with_beads,with_beads,
E57aDOP,,,,,,Available
E57aDOQ,,,,,,
E57aDOS,,,,,,
E57aDOU,,,,,,
E57aDOV,,,,,,
E57aDOZ,,,0.1078,with_beads,with_beads,Available
E57aDPR,,,,,,
E57aDPT,,,0.0558,with_beads,with_beads,Available
E57aDPW,,,0.0166,with_beads,with_beads,
E57aDQV,,,,,,
E57aDQW,,Sacrificed,,,,
E57aDQY,,,,,,
E57aDQZ,,,,,,
E57aDRV,,,0.1182,no_beads,no_beads,
E57aDRY,,,0.0690,with_beads,with_beads,
E57aDSX,,,0.0430,no_beads,no_beads,
E57aDSY,,,0.0826,with_beads,with_beads,
E57aDSZ,,,,,,
E57aDTV,Unavailable,Died,,,,
E57aDTY,,,0.0694,with_beads,with_beads,Available
E57aDUZ,,,0.1007,no_beads,no_beads,
E57aDVW,,,,,,
E57aDWX,,,,,,
E57aDXY,,,0.0752,with_beads,with_beads,
E57aEFG,,,,,,
E57aEFT,,,,,,
E57aEFU,,,0.0518,with_beads,with_beads,Available
E57aEFY,,,,,,
E57aEGO,,,,,,
E57aEGS,,,,,,Available
E57aEGZ,,,,,,Available
E57aEHK,,,,,,
E57aEHN,,,0.0516,with_beads,with_beads,
E57aEHR,,,0.0847,with_beads,with_beads,
E57aEHS,,,0.0554,with_beads,with_beads,
E57aEHX,,,0.0628,with_beads,with_beads,Available
E57aEIM,,,0.1153,with_beads,with_beads,
E57aEIP,,,0.0581,with_beads,with_beads,
E57aEIR,,,0.0544,with_beads,with_beads,
E57aEIY,,,0.0826,with_beads,with_beads,
E57aEJM,,,0.0938,with_beads,with_beads,
E57aEKO,,,0.0554,with_beads,with_beads,
E57aEKP,,Died,,,,Available
E57aEKQ,,,,,,Available
E57aEKR,,,0.0215,with_beads,with_beads,
E57aEKT,,,0.0428,with_beads,with_beads,
E57aELN,,,0.0580,with_beads,with_beads,
E57aELP,,,,,,Available
E57aEMO,,,,,,Available
E57aEMP,,,,,,Available
E57aEMT,,,0.0115,with_beads,with_beads,Available
E57aEMV,,,0.0151,with_beads,with_beads,
E57aEMX,,,0.0515,with_beads,with_beads,
E57aEMZ,,,,,,
E57aENR,,,0.0609,with_beads,with_beads,
E57aENX,,,0.0897,with_beads,with_beads,Available
E57aENZ,,,,,,
E57aEOU,,,0.0552,with_beads,with_beads,
E57aEOZ,,,,,,Available
E57aEPT,,,,,,Available
E57aEPU,,,,,,
E57aEQU,,,0.0684,with_beads,with_beads,
E57aEQW,,,,,,Available
E57aERW,,,,,,
E57aESV,,,0.0603,with_beads,with_beads,
E57aESZ,,,,,,Available
E57aETU,,,0.0527,with_beads,with_beads,
E57aETW,,,,,,Available
E57aETZ,,,0.0507,with_beads,with_beads,
E57aEUW,,,0.0737,with_beads,with_beads,
E57aEUZ,,,,,,
E57aEWY,,,,,,
E57aFGP,,,,,,
E57aFGW,,,,,,
E57aFGZ,,,,,,
E57aFHI,,,,,,
E57aFHL,,,,,,
E57aFHO,,Died,,,,
E57aFIM,,,,,,
E57aFIY,,,0.0560,with_beads,with_beads,
E57aFJK,,,0.0630,with_beads,with_beads,Available
E57aFJN,,,,,,
E57aFJO,,,0.0913,with_beads,with_beads,
E57aFJQ,,,0.0590,with_beads,with_beads,
E57aFJS,,,,,,
E57aFJX,,,,,,
E57aFJY,,,,,,
E57aFKM,,,0.0525,with_beads,with_beads,
E57aFKN,,,,,,
E57aFKO,,,,,,Available
E57aFKS,,,0.0333,with_beads,with_beads,Available
E57aFKW,,,0.0662,with_beads,with_beads,
E57aFLQ,,,0.0847,no_beads,no_beads,
E57aFLR,,,,,,
E57aFLV,,,0.0825,with_beads,with_beads,
E57aFLZ,,,,,,
E57aFMP,Unavailable,Sacrificed,,,,
E57aFMT,,,,,,Available
E57aFOQ,,,0.0763,with_beads,with_beads,
E57aFOT,,,0.0934,with_beads,with_beads,
E57aFOW,,,,,,
E57aFOY,,,,,,Available
E57aFPR,,,,,,
E57aFPV,,,0.0739,with_beads,with_beads,Available
E57aFQV,,,0.0896,with_beads,with_beads,
E57aFRW,,,0.0566,with_beads,with_beads,
E57aFSW,,,0.0847,with_beads,with_beads,
E57aFTV,,,,,,
E57aFTX,,,0.0628,with_beads,with_beads,Available
E57aFTY,,,,,,
E57aFUY,,,0.0343,with_beads,with_beads,
E57aFVY,,,,,,Available
E57aGHL,,,0.0866,no_beads,with_beads,
E57aGHU,,,0.0788,with_beads,with_beads,
E57aGHX,,,,,,
E57aGIR,,,0.0592,with_beads,with_beads,Available
E57aGJS,,,,,,Available
E57aGJT,,,,,,Available
E57aGJX,,,,,,
E57aGJY,,,,,,
E57aGKN,,,,,,
E57aGLM,,,0.0550,no_beads,no_beads,
E57aGLV,,,0.1095,with_beads,with_beads,Available
E57aGLZ,,,,,,
E57aGMQ,,,0.0668,with_beads,with_beads,
E57aGMS,,,,,,
E57aGMV,,,,,,
E57aGMY,,,0.0375,no_beads,no_beads,
E57aGNQ,,,,,,Available
E57aGNV,Unavailable,Died,,,,Available
E57aGNZ,,,0.0909,with_beads,with_beads,
E57aGOP,,,,,,
E57aGOT,,,,,,
E57aGOY,Unavailable,Died,,,,
E57aGPR,,,,,,
E57aGPS,,,,,,
E57aGPW,,,,,,
E57aGQS,,,,,,
E57aGQW,Unavailable,Died,,,,
E57aGQX,,,,,,
E57aGRV,,,0.0952,with_beads,with_beads,
E57aGSZ,,,0.0056,with_beads,with_beads,
E57aGTY,,,0.0363,with_beads,with_beads,
E57aGUV,,,,,,Available
E57aGUW,,,,,,Available
E57aGUX,,,0.0408,with_beads,with_beads,
E57aGVZ,,,,,,Available
E57aGXY,,,,,,
E57aHIK,,,,,,
E57aHIO,,,0.0373,with_beads,with_beads,
E57aHIR,,,,,,
E57aHIS,,,0.0162,with_beads,with_beads,
E57aHIU,,,,,,Available
E57aHJK,,,0.0573,with_beads,with_beads,
E57aHJL,,,0.0642,with_beads,with_beads,
E57aHJM,,,0.0302,with_beads,with_beads,
E57aHJR,,,0.0540,with_beads,with_beads,Available
E57aHJT,,,0.1391,with_beads,with_beads,Available
E57aHJV,,,0.0528,with_beads,with_beads,
E57aHJW,,,0.0616,with_beads,with_beads,
E57aHJX,,,0.0536,with_beads,with_beads,
E57aHJY,,,,,,
E57aHJZ,,,0.0363,with_beads,with_beads,
E57aHKN,,,,,,
E57aHKT,,,0.0109,with_beads,with_beads,
E57aHKV,,,0.0840,with_beads,with_beads,
E57aHKX,,,,,,
E57aHLW,,,,,,
E57aHLX,,,,,,
E57aHLY,,,0.0553,with_beads,with_beads,
E57aHLZ,,,0.0460,with_beads,with_beads,
E57aHMU,,,0.0982,with_beads,with_beads,
E57aHMY,,,,,,
E57aHNQ,,,,,,
E57aHNX,,,0.0650,with_beads,with_beads,Available
E57aHNZ,,Died,,,,
E57aHOP,,,0.0252,with_beads,with_beads,
E57aHOS,,,,,,
E57aHOU,,,,,,
E57aHOX,,,0.0584,with_beads,with_beads,
E57aHOY,,,0.0757,with_beads,with_beads,
E57aHPU,,,,,,Available
E57aHPX,,,,,,Available
E57aHPY,,,0.0645,with_beads,with_beads,
E57aHQT,,,0.0706,with_beads,with_beads,
E57aHQZ,,,0.0686,with_beads,with_beads,
E57aHSZ,,,0.0578,with_beads,with_beads,
E57aHTU,,,,,,
E57aHTZ,,,0.1138,with_beads,with_beads,
E57aHUY,,,,,,
E57aHUZ,,Sacrificed,,,,
E57aHXY,,,,,,
E57aIJQ,,,0.0623,with_beads,with_beads,
E57aIJR,,,0.0544,with_beads,with_beads,Available
E57aIJS,,,0.0564,with_beads,with_beads,
E57aIJT,,,0.0805,with_beads,with_beads,
E57aIJW,,,,,,Available
E57aIJY,,,0.0540,with_beads,with_beads,Available
E57aIKO,,,0.0710,with_beads,with_beads,
E57aIKS,,,0.0754,with_beads,with_beads,Available
E57aIKW,,,,,,
E57aIKZ,,,0.0542,no_beads,with_beads,
E57aILO,,,,,,
E57aILR,,,,,,
E57aILS,,,,,,Available
E57aILY,,,,,,
E57aILZ,,,,,,Available
E57aIMQ,,,0.1013,with_beads,with_beads,Available
E57aIMS,,,,,,Available
E57aIMX,,,,,,
E57aIMY,,,0.1001,with_beads,with_beads,
E57aINP,,,,,,
E57aINR,,,0.0540,with_beads,with_beads,
E57aINS,,,,,,
E57aINV,,,0.1143,with_beads,with_beads,
E57aIOU,,,,,,
E57aIOX,,,0.0341,with_beads,with_beads,
E57aIOY,,,0.0805,with_beads,with_beads,
E57aIPR,,,,,,
E57aIPT,,,0.0884,with_beads,with_beads,
E57aIPY,,,0.0752,with_beads,with_beads,
E57aIQU,,,0.0665,with_beads,with_beads,
E57aIRX,,,,,,Available
E57aISU,,,,,,
E57aISW,,,0.1172,with_beads,with_beads,
E57aISX,,,,,,
E57aIUZ,,,,,,Available
E57aIVW,,,,,,
E57aIVX,,,,,,Available
E57aIVZ,,,,,,
E57aIWY,,,,,,Available
E57aJKL,,,0.0692,with_beads,with_beads,
E57aJKN,,,,,,Available
E57aJKZ,,,0.1021,with_beads,with_beads,
E57aJLN,,,0.0612,with_beads,with_beads,
E57aJLO,,Died,,,,Available
E57aJLQ,,,0.0964,with_beads,with_beads,
E57aJLT,,,,,,Available
E57aJLX,,,,,,
E57aJLY,,,0.0922,with_beads,with_beads,
E57aJMP,,,0.1047,no_beads,no_beads,
E57aJMQ,,,0.0580,with_beads,with_beads,
E57aJMY,,,0.0525,with_beads,with_beads,Available
E57aJNS,,,0.0642,with_beads,with_beads,
E57aJNU,,,,,,
E57aJOP,,,,,,
E57aJOQ,,,,,,
E57aJOS,,,0.0579,with_beads,with_beads,Available
E57aJOT,,,,,,
E57aJOV,,,0.0579,with_beads,with_beads,Available
E57aJPV,,,0.1046,with_beads,with_beads,Available
E57aJPY,,,0.0352,with_beads,with_beads,
E57aJRS,,,0.1052,with_beads,with_beads,Available
E57aJSU,,Eye_infection,,,,
E57aJSW,,,0.0556,with_beads,with_beads,Available
E57aJTV,,,,,,Available
E57aJTW,,,,,,
E57aJVX,,,0.1006,no_beads,no_beads,
E57aJVY,,,0.0528,with_beads,with_beads,Available
E57aJWY,,,0.0777,with_beads,with_beads,
E57aKLZ,,,,,,
E57aKMO,,,,,,
E57aKMS,,,0.0956,with_beads,with_beads,
E57aKMX,,,0.5760,with_beads,with_beads,
E57aKNT,,,0.0506,with_beads,with_beads,Available
E57aKNU,,,0.0405,with_beads,with_beads,
E57aKNX,,,0.0549,with_beads,with_beads,
E57aKNY,,,,,,
E57aKNZ,,,,,,
E57aKOS,,,,,,
E57aKOU,,,0.0569,with_beads,with_beads,
E57aKPV,,,0.0487,with_beads,with_beads,
E57aKPZ,Unavailable,Sacrificed,,,,
E57aKQR,,,,,,
E57aKQZ,,,0.1045,with_beads,with_beads,Available
E57aKRU,,,,,,
E57aKRZ,,,,,,Available
E57aKSV,,,,,,Available
E57aKTX,,,,,,
E57aKTZ,,,,,,Available
E57aKUX,,,0.0625,with_beads,with_beads,
E57aKUY,,,0.0441,no_beads,with_beads,
E57aKVY,,,,,,
E57aKWX,,Sacrificed,,,,
E57aKWY,,,0.1007,with_beads,with_beads,Available
E57aKWZ,,,,,,
E57aLMV,,,,,,Available
E57aLMW,,,0.0722,with_beads,with_beads,Available
E57aLMX,,,,,,
E57aLNU,,,0.1065,with_beads,with_beads,Available
E57aLNW,,,,,,
E57aLNX,,,,,,
E57aLNY,,,,,,
E57aLOT,,,,,,
E57aLOY,,,,,,
E57aLPS,,,,,,
E57aLPT,,,,,,Available
E57aLPU,,,0.0555,with_beads,with_beads,
E57aLQR,,,,,,
E57aLQW,,,,,,
E57aLQX,,,0.1072,with_beads,with_beads,
E57aLRS,,,0.0725,with_beads,with_beads,
E57aLRU,,,,,,
E57aLRX,,,0.0599,with_beads,with_beads,
E57aLRZ,,,0.0608,with_beads,with_beads,
E57aLSU,,,0.0302,with_beads,with_beads,Available
E57aLSZ,,,0.0618,with_beads,with_beads,Available
E57aLTU,,,0.0600,with_beads,with_beads,
E57aLTY,,,,,,
E57aLUW,,,0.0461,with_beads,with_beads,Available
E57aLXZ,,,0.0505,with_beads,with_beads,
E57aLYZ,,,0.0460,with_beads,with_beads,
E57aMNP,,,,,,
E57aMNR,,,0.0873,with_beads,with_beads,
E57aMNT,,,0.1062,with_beads,with_beads,Available
E57aMNV,,,,,,Available
E57aMNW,,,0.0870,with_beads,with_beads,
E57aMNY,,,,,,
E57aMOU,,,,,,
E57aMOV,,,0.0477,with_beads,with_beads,
E57aMOW,,,,,,
E57aMOX,,,,,,
E57aMOY,,,,,,
E57aMPT,,,,,,
E57aMPW,,,,,,
E57aMPY,,,,,,
E57aMQR,,,,,,Available
E57aMQS,,,,,,
E57aMQT,,,0.1058,with_beads,with_beads,Available
E57aMQV,,,,,,
E57aMRS,,,,,,
E57aMRT,,,0.0358,with_beads,with_beads,Available
E57aMTY,,,0.0595,with_beads,with_beads,
E57aMWY,,,0.0855,with_beads,with_beads,
E57aMXZ,,,,,,
E57aNOT,,,,,,
E57aNPY,,,,,,
E57aNQS,,,,,,
E57aNQW,,,,,,
E57aNQY,,,0.0734,with_beads,with_beads,
E57aNRV,,,,,,
E57aNRW,,,0.0035,with_beads,with_beads,Available
E57aNRX,,,,,,Available
E57aNSW,,,,,,
E57aNSY,,,,,,Available
E57aNSZ,,,0.0286,with_beads,with_beads,
E57aNUV,,,,,,
E57aNUW,,,,,,
E57aNWZ,,,0.0730,with_beads,with_beads,Available
E57aNXY,,,,,,
E57aOPV,,,0.0540,with_beads,with_beads,
E57aOPY,,,0.0655,with_beads,with_beads,
E57aOPZ,,,0.0597,with_beads,with_beads,
E57aOQR,,,,,,
E57aOQS,,,,,,
E57aOQV,,,,,,
E57aOQY,,,0.0663,with_beads,with_beads,
E57aOQZ,Diarrhea,,,,,
E57aORU,,,0.0773,with_beads,with_beads,
E57aOST,,,,,,
E57aOTV,,,0.0434,with_beads,with_beads,
E57aOTX,,,,,,
E57aOVY,,,0.0219,with_beads,with_beads,
E57aOWX,,,0.0215,no_beads,no_beads,
E57aPRS,,,0.1027,with_beads,with_beads,Available
E57aPSY,,,0.0942,with_beads,with_beads,
E57aPTU,,,0.1034,with_beads,with_beads,
E57aPTV,,,0.0669,with_beads,with_beads,Available
E57aPTZ,,,,,,
E57aPUY,,Sacrificed,,,,
E57aPVY,,,,,,
E57aPWX,,,,,,
E57aPWY,,,0.0580,with_beads,with_beads,
E57aQRS,,,0.0711,with_beads,with_beads,
E57aQRU,,,0.1067,with_beads,with_beads,Available
E57aQRV,,,,,,
E57aQSY,,,0.0508,with_beads,with_beads,
E57aQTW,,,,,,Available
E57aQUW,,,,,,Available
E57aQVY,,,0.0525,with_beads,with_beads,Available
E57aQVZ,,,0.0606,with_beads,with_beads,Available
E57aRSW,,,0.0799,with_beads,with_beads,
E57aRSX,,,,,,
E57aRSZ,,,ALEXA,no_beads,no_beads,Available
E57aRTV,,,0.1434,no_beads,with_beads,
E57aRTY,Unavailable,Died,,,,
E57aRUV,,,0.0242,with_beads,with_beads,
E57aRVW,,,,,,
E57aRVX,,,0.0389,with_beads,with_beads,
E57aRWY,,,0.0465,with_beads,with_beads,
E57aRXZ,,,0.1084,with_beads,with_beads,
E57aSUV,,Sacrificed,,,,
E57aSUW,,,0.0839,with_beads,with_beads,Available
E57aSUX,,,0.0967,with_beads,with_beads,
E57aSUY,Unavailable,Sacrificed,,,,
E57aSUZ,,,0.0814,with_beads,with_beads,Available
E57aSVX,,,,,,
E57aSXZ,,,,,,Available
E57aSYZ,,,0.0653,with_beads,with_beads,Available
E57aTUY,,,0.0613,no_beads,with_beads,
E57aTVX,,,,,,Available
E57aTWY,,,0.0316,with_beads,with_beads,Available
E57aTWZ,,,,,,Available
E57aTXY,,,0.0469,with_beads,with_beads,
E57aTXZ,,,0.0736,with_beads,with_beads,
E57aUVY,Soft,,0.0207,with_beads,with_beads,
E57aUWY,,,0.0776,with_beads,with_beads,
E57aVWX,,,0.0652,with_beads,with_beads,Available
E57aVWY,,,,,,
E57aVXY,,,0.0374,with_beads,with_beads,
E57aWYZ,,,,,,
