"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","plate"
"39","D3","FALSE","E57aBCY","Eim","UNKNOWN","SYBR","None","Amp","1.4128009043577",NA,NA,"18.6727862874776","0.826634629739433","19.0340319479632","0.313453856907533","TRUE","0.0455811989684096","TRUE","3","16","74.553108215332",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"40","D4","FALSE","E57aFUY","Eim","UNKNOWN","SYBR","None","Amp","1.44520031748575",NA,NA,"18.3097157728376","0.942351561616557","17.9914723361893","0.536203094513458","TRUE","0.0455811989684096","TRUE","3","15","74.553108215332",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"41","D5","FALSE","E57aFUY","Eim","UNKNOWN","SYBR","None","Amp","1.44854103729931",NA,NA,"18.292301261781","0.935076063611471","17.9914723361893","0.536203094513458","TRUE","0.0455811989684096","TRUE","3","15","74.5565338134766",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"42","D6","FALSE","E57aFUY","Eim","UNKNOWN","SYBR","None","Amp","1.43403539925867",NA,NA,"17.3723999739494","0.886316057567505","17.9914723361893","0.536203094513458","TRUE","0.0455811989684096","TRUE","3","14","74.7114715576172",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"43","D7","FALSE","E57aKPV","Eim","UNKNOWN","SYBR","None","Amp","1.4574294521089",NA,NA,"15.9237309742744","0.892476530242423","15.6160749633765","0.357448654587887","TRUE","0.0455811989684096","TRUE","3","13","74.7114715576172",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"44","D8","FALSE","E57aKPV","Eim","UNKNOWN","SYBR","None","Amp","1.44892193426779",NA,NA,"15.700533287551","0.850069440893259","15.6160749633765","0.357448654587887","TRUE","0.0455811989684096","TRUE","3","12","74.5565338134766",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"45","D9","FALSE","E57aKPV","Eim","UNKNOWN","SYBR","None","Amp","1.44889943337323",NA,NA,"15.2239606283039","0.909101144279994","15.6160749633765","0.357448654587887","TRUE","0.0455811989684096","TRUE","3","12","74.7346267700195",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"46","D10","FALSE","E57aALU","Eim","UNKNOWN","SYBR","None","Amp","1.44377755205287",NA,NA,"22.3131846794296","0.943757815604507","22.0017517044922","0.591481748486992","TRUE","0.0455811989684096","TRUE","3","19","75.3553085327148",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"47","D11","FALSE","E57aALU","Eim","UNKNOWN","SYBR","None","Amp","1.43974591795897",NA,NA,"22.3724454993929","0.949289436130327","22.0017517044922","0.591481748486992","TRUE","0.0455811989684096","TRUE","3","19","75.3553085327148",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"48","D12","FALSE","E57aALU","Eim","UNKNOWN","SYBR","None","Amp","1.43088583130925",NA,NA,"21.3196249346541","0.886009973337418","22.0017517044922","0.591481748486992","TRUE","0.0455811989684096","TRUE","3","18","75.5104751586914",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"49","E1","FALSE","E57aBHO","Eim","UNKNOWN","SYBR","None","Amp","1.36472419553012",NA,NA,"29.6794798989822","0.846594606831308","30.0953685055044","0.363398103804362","TRUE","0.0455811989684096","TRUE","3","26","75.1726760864258",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"50","E2","FALSE","E57aBHO","Eim","UNKNOWN","SYBR","None","Amp","1.3457232667384",NA,NA,"30.2549839139661","0.805024886501077","30.0953685055044","0.363398103804362","TRUE","0.0455811989684096","TRUE","3","27","75.1726760864258",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"51","E3","FALSE","E57aBHO","Eim","UNKNOWN","SYBR","None","Amp","1.26388246652091",NA,NA,"30.3516417035649","0.606515660355129","30.0953685055044","0.363398103804362","TRUE","0.0455811989684096","TRUE","3","26","75.3275680541992",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"52","E4","FALSE","E57aGUX","Eim","UNKNOWN","SYBR","None","Inconclusive","1.05962065419389",NA,NA,"36.4039538582876","0.712298261850947","36.0228605425844","0.33783314709194","TRUE","0.0455811989684096","TRUE","3","33","67.2732086181641","82.1427917480469","85.550407409668",NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"53","E5","FALSE","E57aGUX","Eim","UNKNOWN","SYBR","None","Inconclusive","1.12532500706491",NA,NA,"35.9044744613565","0.822427918305339","36.0228605425844","0.33783314709194","TRUE","0.0455811989684096","TRUE","3","33","78.5849456787109","66.9645385742188",NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"54","E6","FALSE","E57aGUX","Eim","UNKNOWN","SYBR","None","Inconclusive","1.14348994335979",NA,NA,"35.7601533081092","0.737524677444863","36.0228605425844","0.33783314709194","TRUE","0.0455811989684096","TRUE","3","33","79.6695098876953","67.2744140625",NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"55","E7","FALSE","E57aMRT","Eim","UNKNOWN","SYBR","None","Amp","1.42188723256525",NA,NA,"30.0820539590984","0.899693450246658","29.513169998355","0.592169999911524","TRUE","0.0455811989684096","TRUE","3","26","75.021354675293",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"56","E8","FALSE","E57aMRT","Eim","UNKNOWN","SYBR","None","Amp","1.41073491409645",NA,NA,"29.5572757134578","0.896009843520824","29.513169998355","0.592169999911524","TRUE","0.0455811989684096","TRUE","3","26","75.021354675293",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"57","E9","FALSE","E57aMRT","Eim","UNKNOWN","SYBR","None","Amp","1.37632173064154",NA,NA,"28.9001803225088","0.830872318636316","29.513169998355","0.592169999911524","TRUE","0.0455811989684096","TRUE","3","25","75.0449676513672",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"58","E10","FALSE","E57aACP","Eim","UNKNOWN","SYBR","None","Amp","1.45298429725111",NA,NA,"19.8689864768607","0.835141290658331","19.9423163278991","0.446279675456995","TRUE","0.0455811989684096","TRUE","3","16","75.5104751586914",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"59","E11","FALSE","E57aACP","Eim","UNKNOWN","SYBR","None","Amp","1.46116879468228",NA,NA,"20.420719409384","0.968896608698165","19.9423163278991","0.446279675456995","TRUE","0.0455811989684096","TRUE","3","18","75.5104751586914",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"60","E12","FALSE","E57aACP","Eim","UNKNOWN","SYBR","None","Amp","1.44987333442401",NA,NA,"19.5372430974527","0.951236673304108","19.9423163278991","0.446279675456995","TRUE","0.0455811989684096","TRUE","3","17","75.5104751586914",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"61","F1","FALSE","E57aBNR","Eim","UNKNOWN","SYBR","None","Amp","1.39211923180106",NA,NA,"33.142714628793","0.98593490533965","33.1375072717235","0.350057201359716","TRUE","0.0455811989684096","TRUE","3","30","75.3275680541992",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"62","F2","FALSE","E57aBNR","Eim","UNKNOWN","SYBR","None","Amp","1.38170942696736",NA,NA,"33.4849317446252","0.982565329994071","33.1375072717235","0.350057201359716","TRUE","0.0455811989684096","TRUE","3","30","75.3275680541992",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"63","F3","FALSE","E57aBNR","Eim","UNKNOWN","SYBR","None","Amp","1.40921291467883",NA,NA,"32.7848754417522","0.932410236883056","33.1375072717235","0.350057201359716","TRUE","0.0455811989684096","TRUE","3","30","75.3275680541992",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"64","F4","FALSE","E57aHJX","Eim","UNKNOWN","SYBR","None","Amp","1.36776736353393",NA,NA,"33.9294046592838","0.801764864763144","32.8836648203577","1.07067137780246","TRUE","0.0455811989684096","TRUE","3","31","75.1726760864258",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"65","F5","FALSE","E57aHJX","Eim","UNKNOWN","SYBR","None","Amp","1.42080584786048",NA,NA,"31.7896921595181","0.821878745737736","32.8836648203577","1.07067137780246","TRUE","0.0455811989684096","TRUE","3","28","75.021354675293",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"66","F6","FALSE","E57aHJX","Eim","UNKNOWN","SYBR","None","Amp","1.41224165696904",NA,NA,"32.9318976422711","0.718732911601016","32.8836648203577","1.07067137780246","TRUE","0.0455811989684096","TRUE","3","29","75.3312301635742",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"67","F7","FALSE","E57aQSY","Eim","UNKNOWN","SYBR","None","Amp","1.45991713881391",NA,NA,"13.7199874352731","0.880409979111758","13.4340969133388","0.532082551642912","TRUE","0.0455811989684096","TRUE","3","11","74.7114715576172",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"68","F8","FALSE","E57aQSY","Eim","UNKNOWN","SYBR","None","Amp","1.46137058754988",NA,NA,"13.7621206522685","0.934961523641532","13.4340969133388","0.532082551642912","TRUE","0.0455811989684096","TRUE","3","11","74.5565338134766",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"69","F9","FALSE","E57aQSY","Eim","UNKNOWN","SYBR","None","Amp","1.44864767875388",NA,NA,"12.8201826524747","0.847932312408427","13.4340969133388","0.532082551642912","TRUE","0.0455811989684096","TRUE","3","10","74.7346267700195",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"70","F10","FALSE","E57aUWY","Eim","UNKNOWN","SYBR","None","Amp","1.45045667311969",NA,NA,"26.3916287352691","0.96452412723961","26.3415479892292","0.342236292743125","TRUE","0.0455811989684096","TRUE","3","23","75.8208160400391",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"71","F11","FALSE","E57aUWY","Eim","UNKNOWN","SYBR","None","Amp","1.45286741542706",NA,NA,"26.6559845951457","0.959192848073427","26.3415479892292","0.342236292743125","TRUE","0.0455811989684096","TRUE","3","23","75.6656494140625",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"72","F12","FALSE","E57aUWY","Eim","UNKNOWN","SYBR","None","Amp","1.4411380994421",NA,NA,"25.9770306372729","0.940840102563043","26.3415479892292","0.342236292743125","TRUE","0.0455811989684096","TRUE","3","23","75.8208160400391",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"73","G1","FALSE","E57aDGJ","Eim","UNKNOWN","SYBR","None","Amp","1.44767130786215",NA,NA,"19.3635503095412","0.996155096262413","18.9653348216601","0.408836136525683","TRUE","0.0455811989684096","TRUE","3","17","74.8628921508789",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"74","G2","FALSE","E57aDGJ","Eim","UNKNOWN","SYBR","None","Amp","1.44177458615949",NA,NA,"18.9858069161338","0.907971126029786","18.9653348216601","0.408836136525683","TRUE","0.0455811989684096","TRUE","3","15","74.8628921508789",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"75","G3","FALSE","E57aDGJ","Eim","UNKNOWN","SYBR","None","Amp","1.43841743196208",NA,NA,"18.5466472393054","0.944721393943291","18.9653348216601","0.408836136525683","TRUE","0.0455811989684096","TRUE","3","15","74.8628921508789",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"76","G4","FALSE","E57aHLZ","Eim","UNKNOWN","SYBR","None","Amp","1.3919495580671",NA,NA,"24.3808458100659","0.8974392446168","24.2385496712171","0.284364088322559","TRUE","0.0455811989684096","TRUE","3","21","75.0177841186523",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"77","G5","FALSE","E57aHLZ","Eim","UNKNOWN","SYBR","None","Amp","1.38262179244676",NA,NA,"24.4236764374265","0.889584424423601","24.2385496712171","0.284364088322559","TRUE","0.0455811989684096","TRUE","3","21","75.021354675293",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"78","G6","FALSE","E57aHLZ","Eim","UNKNOWN","SYBR","None","Amp","1.33337647119249",NA,NA,"23.9111267661591","0.812563241697887","24.2385496712171","0.284364088322559","TRUE","0.0455811989684096","TRUE","3","21","75.1762924194336",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"79","G7","FALSE","E57aVWX","Eim","UNKNOWN","SYBR","None","Amp","1.44703897205483",NA,NA,"28.4586380036788","0.971602838387902","28.3593992277492","0.852241221063168","TRUE","0.0455811989684096","TRUE","3","25","75.021354675293",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"80","G8","FALSE","E57aVWX","Eim","UNKNOWN","SYBR","None","Amp","1.4402272545182",NA,NA,"29.1576765598471","0.961165233212623","28.3593992277492","0.852241221063168","TRUE","0.0455811989684096","TRUE","3","26","75.021354675293",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"81","G9","FALSE","E57aVWX","Eim","UNKNOWN","SYBR","None","Amp","1.4028999607237",NA,NA,"27.4618831197218","0.902942322920823","28.3593992277492","0.852241221063168","TRUE","0.0455811989684096","TRUE","3","24","75.0449676513672",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"82","G10","FALSE","E57aNTC1","Eim","NTC","SYBR","None","No Amp","0",NA,NA,"Undetermined","0",NA,NA,"TRUE","0.0455811989684096","TRUE","3","39","82.0276107788086","62.0107078552246","64.8037643432617","92.7343292236328","qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"83","G11","FALSE","E57aNTC1","Eim","NTC","SYBR","None","Inconclusive","1.29591299977538",NA,NA,"34.2251345222183","0.986882505723558","34.2251345222183",NA,"TRUE","0.0455811989684096","TRUE","3","31","75.2001342773438",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"84","G12","FALSE","E57aNTC1","Eim","NTC","SYBR","None","No Amp","0",NA,NA,"Undetermined","0",NA,NA,"TRUE","0.0455811989684096","TRUE","3","39","75.8208160400391","64.4934234619141","80.1655731201172","71.4760589599609","qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"85","H1","FALSE","E57aDMO","Eim","UNKNOWN","SYBR","None","Amp","1.44535015823094",NA,NA,"24.979749589228","0.957750061743404","24.3956876553382","0.5910913941231","TRUE","0.0455811989684096","TRUE","3","22","75.0177841186523",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
"86","H2","FALSE","E57aDMO","Eim","UNKNOWN","SYBR","None","Amp","1.4420462552378",NA,NA,"24.4095043289629","0.937627665806509","24.3956876553382","0.5910913941231","TRUE","0.0455811989684096","TRUE","3","21","74.8628921508789",NA,NA,NA,"qPCR_eimeria_lab_fecal_DB_01052022_a.eds"
