EH_ID,primary_infection,challenge_infection,X,Locality,Genome,mouse_strain,IDD,Dam,Gen,Sir,IDS,Sir.1,Gen.1,Born,Fpar,LS,MM,FF,ID,PIN,Sex,Gen.2,Wean,BW10,BW20,Clip,Departure,NOTE,X60.Day,X90.Day,X140.Day,experiment,infection_history
LM0410,E64,UNI,12,Schweben 2,dom,SCHUNT,SZ,7277,G46,SCHUNT,SZ,7275,G46,7/20/2020,3,5,2,3,TA,60,F,G47,1F,5.87,7.21,NA,NA,,9/18/2020,10/18/2020,12/7/2020,E10,E64:UNI
LM0411,E88,E88,7,Schweben 2,dom,SCHUNT,SZ,7407,G46,SCHUNT,SZ,7406,G46,7/26/2020,3,8,4,4,TA,186,M,G47,1F,4.36,5.9,NA,NA,,9/24/2020,10/24/2020,12/13/2020,E10,E88:E88
LM0412,E88,UNI,10,Schweben 2,dom,SCHUNT,SZ,7277,G46,SCHUNT,SZ,7275,G46,7/20/2020,3,5,2,3,TA,58,F,G47,1F,6.43,6.96,NA,NA,,9/18/2020,10/18/2020,12/7/2020,E10,E88:UNI
LM0413,E64,E88,11,Schweben 2,dom,SCHUNT,SZ,7277,G46,SCHUNT,SZ,7275,G46,7/20/2020,3,5,2,3,TA,59,F,G47,1F,5.96,7.51,NA,NA,,9/18/2020,10/18/2020,12/7/2020,E10,E64:E88
LM0414,UNI,UNI,9,Prague,mus,PWD,SZ,6423,G53,PWD,SZ,6421,G53,6/22/2020,1,5,2,3,SZ,9345,F,G54,1F,4.87,7.78,NA,NA,,8/21/2020,9/20/2020,11/9/2020,E10,UNI:UNI
LM0415,UNI,E64,11,Prague,mus,PWD,SZ,7383,G53,PWD,SZ,7382,G53,7/9/2020,2,10,5,5,SZ,9825,F,G54,1F,3.23,4.79,NA,NA,,9/7/2020,10/7/2020,11/26/2020,E10,UNI:E64
LM0416,E88,E88,9,Schweben 2,dom,SCHUNT,SZ,7407,G46,SCHUNT,SZ,7406,G46,7/3/2020,2,8,4,4,SZ,9664,F,G47,1F,5.25,7.77,NA,NA,,9/1/2020,10/1/2020,11/20/2020,E10,E88:E88
LM0417,E88,E64,14,Schweben 2,dom,SCHUNT,SZ,7407,G46,SCHUNT,SZ,7406,G46,7/26/2020,3,8,4,4,TA,187,F,G47,1F,4.48,5.11,NA,NA,,9/24/2020,10/24/2020,12/13/2020,E10,E88:E64
LM0418,UNI,E88,15,Prague,mus,PWD,SZ,6423,G53,PWD,SZ,6421,G53,6/22/2020,1,5,2,3,SZ,9343,M,G54,1M,5.11,7.96,NA,NA,REZERVA,8/21/2020,9/20/2020,11/9/2020,E10,UNI:E88
LM0419,UNI,UNI,13,Prague,mus,PWD,SZ,7896,G54,PWD,SZ,7895,G54,7/15/2020,2,6,4,2,SZ,9941,F,G55,1F,4.53,6.9,NA,NA,,9/13/2020,10/13/2020,12/2/2020,E10,UNI:UNI
LM0420,E88,UNI,2,Prague,mus,PWD,SZ,7383,G53,PWD,SZ,7382,G53,7/9/2020,2,10,5,5,SZ,9821,M,G54,1M,3.53,4.23,NA,NA,,9/7/2020,10/7/2020,11/26/2020,E10,E88:UNI
LM0421,E64,E64,10,Prague,mus,PWD,SZ,7383,G53,PWD,SZ,7382,G53,7/9/2020,2,10,5,5,SZ,9824,F,G54,1F,3.41,4.31,NA,NA,,9/7/2020,10/7/2020,11/26/2020,E10,E64:E64
LM0422,E64,E88,1,Schweben 2,dom,SCHUNT,SZ,7407,G46,SCHUNT,SZ,7406,G46,7/3/2020,2,8,4,4,SZ,9633,M,G47,1M,-,7.46,NA,NA,,9/1/2020,10/1/2020,11/20/2020,E10,E64:E88
LM0423,E88,UNI,14,Prague,mus,PWD,SZ,7896,G54,PWD,SZ,7895,G54,7/15/2020,2,6,4,2,SZ,9942,F,G55,1F,4.39,7.3,NA,NA,,9/13/2020,10/13/2020,12/2/2020,E10,E88:UNI
LM0424,UNI,E64,16,Prague,mus,PWD,SZ,6423,G53,PWD,SZ,6421,G53,6/22/2020,1,5,2,3,SZ,BEZ ?ISLA,F,G54,1F,5.17,7.8,NA,NA,REZERVA,8/21/2020,9/20/2020,11/9/2020,E10,UNI:E64
LM0425,E88,E88,16,Schweben 2,dom,SCHUNT,SZ,7407,G46,SCHUNT,SZ,7406,G46,7/26/2020,3,8,4,4,TA,189,F,G47,1F,5.27,7.01,NA,NA,REZERVA,9/24/2020,10/24/2020,12/13/2020,E10,E88:E88
LM0426,E64,UNI,6,Schweben 2,dom,SCHUNT,SZ,7407,G46,SCHUNT,SZ,7406,G46,7/26/2020,3,8,4,4,TA,185,M,G47,1F,5.15,6.19,NA,NA,,9/24/2020,10/24/2020,12/13/2020,E10,E64:UNI
LM0427,E64,UNI,1,Prague,mus,PWD,SZ,6423,G53,PWD,SZ,6421,G53,6/22/2020,1,5,3,2,SZ,9344,M,G54,1M,4.75,7.73,NA,NA,,8/21/2020,9/20/2020,11/9/2020,E10,E64:UNI
LM0428,E64,E64,4,Schweben 2,dom,SCHUNT,SZ,7277,G46,SCHUNT,SZ,7275,G46,7/20/2020,3,5,2,3,TA,57,M,G47,1M,5.63,6.43,NA,NA,,9/18/2020,10/18/2020,12/7/2020,E10,E64:E64
LM0429,E64,E64,8,Prague,mus,PWD,SZ,7896,G54,PWD,SZ,7895,G54,7/15/2020,2,6,4,2,SZ,9940,M,G55,1M,4.30,6.91,NA,NA,,9/13/2020,10/13/2020,12/2/2020,E10,E64:E64
LM0430,E88,UNI,7,Prague,mus,PWD,SZ,7896,G54,PWD,SZ,7895,G54,7/15/2020,2,6,4,2,SZ,9939,M,G55,1M,4.18,6.42,NA,NA,,9/13/2020,10/13/2020,12/2/2020,E10,E88:UNI
LM0431,E88,E88,13,Schweben 2,dom,SCHUNT,SZ,7277,G46,SCHUNT,SZ,7275,G46,7/20/2020,3,5,2,3,TA,61,F,G47,1F,6.15,6.29,NA,NA,,9/18/2020,10/18/2020,12/7/2020,E10,E88:E88
