labels,EH_ID,dpi,weight,weight_dpi0,Wchange,fecweight,,,,,,,,,,
BCE,LM0231,4,21.45,20.69,103.67,2.39,,,,,,,,,,
CET,LM0234,4,33.03,32.76,100.82,2.30,,,,,,,,,,
DHL,LM0235,4,19.17,19.58,97.91,1.90,,,,,,,,,,
BHI,LM0236,4,26.94,26.25,102.63,2.32,,,,,,,,,,
INU,LM0238,4,21.13,21.39,98.78,1.32,,,,,,,,,,
KMQ,LM0240,4,21.14,20.45,103.37,2.41,,,,,,,,,,
AQW,LM0248,4,21.73,23.46,92.63,2.33,,,,,,,,,,
MPU,LM0249,4,25.53,26.10,97.82,3.25,,,,,,,,,,
CHX,LM0255,4,17.69,18.26,96.88,1.74,,,,,,,,,,
DHX,LM0257,4,22.35,22.75,98.24,3.66,,,,,,,,,,
AEQ,LM0258,4,19.42,19.74,98.38,1.24,,,,,,,,,,
DKW,LM0259,4,28.54,28.89,98.79,1.86,,,,,,,,,,
LUV,LM0229,4,18.78,19.06,98.53,2.35,,,,,,,,,,
BFJ,LM0232,4,26.65,26.37,101.06,1.92,,,,,,,,,,
IMR,LM0233,4,31.02,29.77,104.20,3.05,,,,,,,,,,
KMO,LM0239,4,19.28,19.41,99.33,3.74,,,,,,,,,,
GOV,LM0247,4,26.54,27.13,97.83,3.97,,,,,,,,,,
AMS,LM0251,4,23.05,23.16,99.53,2.01,,,,,,,,,,
DMP,LM0254,4,22.36,22.32,100.18,3.93,,,,,,,,,,
JRX,LM0256,4,30.05,29.15,103.09,2.22,,,,,,,,,,
CFZ,LM0261,4,19.01,20.09,94.62,2.52,,,,,,,,,,
IJR,LM0264,4,18.55,17.88,103.75,1.06,,,,,,,,,,
FLN,LM0266,4,21.47,23.94,89.68,1.36,,,,,,,,,,
DGZ,LM0268,4,19.79,20.84,94.96,2.21,,,,,,,,,,
AGI,LM0271,4,22.80,24.25,94.02,4.02,,,,,,,,,,
RTY,LM0227,5,23.12,23.86,96.90,2.01,,,,,,,,,,
ESW,LM0228,5,23.47,21.23,110.55,1.32,,,,,,,,,,
COV,LM0231,5,20.95,20.69,101.26,1.53,,,,,,,,,,
AEJ,LM0234,5,32.15,32.76,98.14,2.29,,,,,,,,,,
EFL,LM0235,5,19.81,19.58,101.17,1.49,,,,,,,,,,
EQV,LM0236,5,25.72,26.25,97.98,1.96,,,,,,,,,,
KST,LM0238,5,20.84,21.39,97.43,0.82,,,,,,,,,,
MQW,LM0240,5,21.48,20.45,105.04,1.53,,,,,,,,,,
AMX,LM0248,5,22.23,23.46,94.76,2.06,,,,,,,,,,
GWZ,LM0249,5,24.36,26.10,93.33,1.70,,,,,,,,,,
BWZ,LM0255,5,17.24,18.26,94.41,0.68,,,,,,,,,,
TUV,LM0257,5,21.30,22.75,93.63,2.89,,,,,,,,,,
JXZ,LM0258,5,18.53,19.74,93.87,1.08,,,,,,,,,,
CLS,LM0259,5,28.55,28.89,98.82,1.50,,,,,,,,,,
CNT,LM0229,5,19.88,19.06,104.30,3.34,,,,,,,,,,
