"Locality","Genome","Strain","IDD","Dam","Gen","Sir","IDS","Sir.1","Gen.1","Born","Fpar","LS","MM","FF","ID","PIN","Sex","Gen.2","Wean","BW10","BW20","Clip","Departure","NOTE","Parent1","Parent2","HybridStatus","ageAtdpi0expe1a","Batch","InfectionStrain"
"PWD x BUSNA","mus x mus","PWD_BUSNA","SY",2996,46,"BUSNA","SY",6113,60,2018-05-02,7,6,"5","?","EX",941,"M","F1","1M","5.39",8.68,"L4",NA,"REZERVA","PWD","BUSNA","outbred hybrids",9.71428571428571,2,"E88"
"","mus x mus","PWD_BUSNA","SY",2996,46,"BUSNA","SY",6113,60,2018-05-30,8,3,"1","2","EX",1131,"F","F1","1F","6.82",10.46,"P2",NA,"","PWD","BUSNA","outbred hybrids",5.71428571428571,2,"E88"
"","mus x mus","PWD_BUSNA","SY",2996,46,"BUSNA","SY",6113,60,2018-05-30,8,3,"1","2","EX",1132,"F","F1","1F","6.97",10.52,"P3",NA,"REZERVA","PWD","BUSNA","outbred hybrids",5.71428571428571,2,"E64"
"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,2018-03-07,3,9,"5","4","EX",664,"M","43","1M","4.53",5.37,"P3",NA,"","PWD","PWD","parental strains",17.7142857142857,1,"E64"
"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,2018-03-07,3,9,"5","4","EX",665,"F","43","1F","3.98",4.41,"L2",NA,"","PWD","PWD","parental strains",17.7142857142857,1,"E88"
"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,2018-03-07,3,9,"5","4","EX",666,"F","43","1F","4.20",4.97,"L3",NA,"","PWD","PWD","parental strains",17.7142857142857,1,"E64"
"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,2018-03-07,3,9,"5","4","EX",667,"F","43","1F","4.34",4.99,"L4",NA,"","PWD","PWD","parental strains",17.7142857142857,1,"E88"
"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,2018-04-01,4,4,"2","2","EX",757,"M","43","1M","5.02",6.72,"L3",NA,"","PWD","PWD","parental strains",14.1428571428571,1,"E64"
"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,2018-04-01,4,4,"2","2","EX",758,"F","43","1F","5.22",7.18,"L4",NA,"","PWD","PWD","parental strains",14.1428571428571,1,"E88"
"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,2018-04-01,4,4,"2","2","EX",759,"F","43","1F","4.41",5.97,"L5",NA,"","PWD","PWD","parental strains",14.1428571428571,2,"E88"
"Prague","mus","PWD_PWD","SY",7076,42,"PWD","SY",7073,42,2018-04-03,2,9,"3","6","EX",780,"M","43","1M","3.17",5.14,"L3",NA,"","PWD","PWD","parental strains",13.8571428571429,2,"E64"
"Prague","mus","PWD_PWD","SY",7076,42,"PWD","SY",7073,42,2018-04-03,2,9,"3","6","EX",783,"F","43","1F","3.12",4.68,"L5",NA,"","PWD","PWD","parental strains",13.8571428571429,2,"E88"
"Prague","mus","PWD_PWD","SY",7076,42,"PWD","SY",7073,42,2018-04-03,2,9,"3","6","EX",784,"F","43","1F","3.04",4.38,"P2",NA,"REZERVA","PWD","PWD","parental strains",13.8571428571429,2,"E64"
"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,2018-04-24,5,6,"3","2","EX",895,"M","43","1M","5.07",7.15,"L2",NA,"","PWD","PWD","parental strains",10.8571428571429,2,"E64"
"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,2018-04-24,5,6,"3","2","EX",896,"M","43","1M","4.55",5.35,"L3",NA,"","PWD","PWD","parental strains",10.8571428571429,2,"E88"
"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,2018-04-24,5,6,"3","2","EX",897,"M","43","1M","4.85",7.46,"L4",NA,"","PWD","PWD","parental strains",10.8571428571429,2,"E88"
"Prague","mus","PWD_PWD","SY",7076,42,"PWD","SY",7073,42,2018-05-01,3,6,"3","3","EX",926,"M","43","1M","5.10",7.41,"L2",NA,"REZERVA","PWD","PWD","parental strains",9.85714285714286,2,"E64"
"PWD x SCHUNT","mus x dom","PWD_SCHUNT","SY",5681,42,"SCHUNT","SY",8172,37,2018-05-07,5,8,"4","4","EX",976,"M","F1","1M","5.83",9.66,"L2",NA,"","PWD","SCHUNT","inter subsp. hybrids",9,1,"E88"
"PWD x SCHUNT","mus x dom","PWD_SCHUNT","SY",5681,42,"SCHUNT","SY",8172,37,2018-05-07,5,8,"4","4","EX",977,"M","F1","1M","5.64",9.76,"L3",NA,"","PWD","SCHUNT","inter subsp. hybrids",9,1,"E64"
"PWD x SCHUNT","mus x dom","PWD_SCHUNT","SY",5681,42,"SCHUNT","SY",8172,37,2018-05-07,5,8,"4","4","EX",978,"M","F1","1M","5.42",9.25,"L4",NA,"","PWD","SCHUNT","inter subsp. hybrids",9,1,"E64"
"PWD x SCHUNT","mus x dom","PWD_SCHUNT","SY",5681,42,"SCHUNT","SY",8172,37,2018-05-07,5,8,"4","4","EX",979,"F","F1","1F","5.91",10.38,"L5",NA,"","PWD","SCHUNT","inter subsp. hybrids",9,2,"E64"
"PWD x SCHUNT","mus x dom","PWD_SCHUNT","SY",5681,42,"SCHUNT","SY",8172,37,2018-05-07,5,8,"4","4","EX",980,"F","F1","1F","5.84",9.88,"P2",NA,"","PWD","SCHUNT","inter subsp. hybrids",9,2,"E64"
"PWD x SCHUNT","mus x dom","PWD_SCHUNT","SY",5681,42,"SCHUNT","SY",8172,37,2018-05-07,5,8,"4","4","EX",981,"F","F1","1F","4.72",8.14,"P3",NA,"","PWD","SCHUNT","inter subsp. hybrids",9,2,"E88"
"SCHUNT x PWD","dom x mus","SCHUNT_PWD","SY",6904,37,"PWD","SY",5342,42,2018-03-23,1,7,"5","2","EX",720,"M","F1","1M","5.75",10.17,"P2",NA,"","SCHUNT","PWD","inter subsp. hybrids",15.4285714285714,1,"E64"
"SCHUNT x PWD","dom x mus","SCHUNT_PWD","SY",6904,37,"PWD","SY",5342,42,2018-03-23,1,7,"5","2","EX",721,"M","F1","1M","5.37",9.71,"P3",NA,"","SCHUNT","PWD","inter subsp. hybrids",15.4285714285714,1,"E88"
"SCHUNT x PWD","dom x mus","SCHUNT_PWD","SY",6904,37,"PWD","SY",5342,42,2018-03-23,1,7,"5","2","EX",722,"M","F1","1M","5.39",10.01,"P4",NA,"","SCHUNT","PWD","inter subsp. hybrids",15.4285714285714,1,"E88"
"SCHUNT x PWD","dom x mus","SCHUNT_PWD","SY",6904,37,"PWD","SY",5342,42,2018-03-23,1,7,"5","2","EX",724,"F","F1","1F","5.48",9.95,"L2",NA,"","SCHUNT","PWD","inter subsp. hybrids",15.4285714285714,2,"E64"
"SCHUNT x PWD","dom x mus","SCHUNT_PWD","SY",6904,37,"PWD","SY",5342,42,2018-03-23,1,7,"5","2","EX",725,"F","F1","1F","5.49",9.81,"L3",NA,"","SCHUNT","PWD","inter subsp. hybrids",15.4285714285714,2,"E64"
"SCHUNT x PWD","dom x mus","SCHUNT_PWD","SY",6904,37,"PWD","SY",5342,42,2018-04-15,2,10,"7","3","EX",837,"F","F1","1F","6.95",11.7,"P5",NA,"","SCHUNT","PWD","inter subsp. hybrids",12.1428571428571,2,"E88"
"SCHUNT x PWD","dom x mus","SCHUNT_PWD","SY",6904,37,"PWD","SY",5342,42,2018-05-08,3,7,"4","3","EX",989,"M","F1","1M","6.59",11.22,"L4",NA,"REZERVA","SCHUNT","PWD","inter subsp. hybrids",8.85714285714286,2,"E88"
"SCHUNT x PWD","dom x mus","SCHUNT_PWD","SY",6904,37,"PWD","SY",5342,42,2018-05-08,3,7,"4","3","EX",990,"F","F1","1F","6.27",11.2,"P2",NA,"REZERVA","SCHUNT","PWD","inter subsp. hybrids",8.85714285714286,2,"E88"
"Schweben 2","dom","SCHUNT_SCHUNT","SY",5726,36,"SCHUNT","SY",5725,36,2018-04-13,5,5,"2","3","EX",822,"M","37","1M","6.50",10.5,"L3",NA,"","SCHUNT","SCHUNT","parental strains",12.4285714285714,1,"E88"
"Schweben 2","dom","SCHUNT_SCHUNT","SY",5726,36,"SCHUNT","SY",5725,36,2018-04-13,5,5,"2","3","EX",824,"F","37","1F","6.84",10.87,"L5",NA,"","SCHUNT","SCHUNT","parental strains",12.4285714285714,1,"E88"
"Schweben 2","dom","SCHUNT_SCHUNT","SY",5726,36,"SCHUNT","SY",5725,36,2018-04-13,5,5,"2","3","EX",825,"F","37","1F","5.56",9.42,"P2",NA,"","SCHUNT","SCHUNT","parental strains",12.4285714285714,1,"E88"
"Schweben 2","dom","SCHUNT_SCHUNT","SY",7907,37,"SCHUNT","SY",7904,37,2018-05-01,3,6,"5","1","EX",920,"M","38","1M","5.82",9.51,"L2",NA,"","SCHUNT","SCHUNT","parental strains",9.85714285714286,1,"E64"
"Schweben 2","dom","SCHUNT_SCHUNT","SY",7907,37,"SCHUNT","SY",7904,37,2018-05-01,3,6,"5","1","EX",921,"M","38","1M","6.14",10.02,"L3",NA,"","SCHUNT","SCHUNT","parental strains",9.85714285714286,1,"E64"
"Schweben 2","dom","SCHUNT_SCHUNT","SY",7907,37,"SCHUNT","SY",7904,37,2018-05-01,3,6,"5","1","EX",922,"M","38","1M","5.51",9.03,"L4",NA,"","SCHUNT","SCHUNT","parental strains",9.85714285714286,1,"E64"
"Schweben 2","dom","SCHUNT_SCHUNT","SY",7907,37,"SCHUNT","SY",7904,37,2018-05-01,3,6,"5","1","EX",923,"M","38","1M","5.79",9.68,"L5",NA,"","SCHUNT","SCHUNT","parental strains",9.85714285714286,2,"E64"
"Schweben 2","dom","SCHUNT_SCHUNT","SY",7907,37,"SCHUNT","SY",7904,37,2018-05-01,3,6,"5","1","EX",924,"M","38","1M","5.62",9.23,"P4",NA,"","SCHUNT","SCHUNT","parental strains",9.85714285714286,2,"E88"
"Schweben 2","dom","SCHUNT_SCHUNT","SY",7907,36,"SCHUNT","SY",7904,37,2018-05-01,3,6,"5","1","EX",925,"F","38","1F","5.91",9.54,"P2",NA,"","SCHUNT","SCHUNT","parental strains",9.85714285714286,2,"E88"
"Schweben 2","dom","SCHUNT_SCHUNT","SY",5726,36,"SCHUNT","SY",5725,36,2018-05-07,6,5,"2","3","EX",982,"M","37","1M","7.32",11.61,"P2",NA,"REZERVA","SCHUNT","SCHUNT","parental strains",9,2,"E88"
"Schweben 2","dom","SCHUNT_SCHUNT","SY",5726,36,"SCHUNT","SY",5725,36,2018-05-07,6,5,"2","3","EX",984,"F","37","1F","6.39",9.46,"P4",NA,"","SCHUNT","SCHUNT","parental strains",9,2,"E64"
"Schweben 2","dom","SCHUNT_SCHUNT","SY",5726,36,"SCHUNT","SY",5725,36,2018-05-07,6,5,"2","3","EX",985,"F","37","1F","6.23",9.01,"P5",NA,"","SCHUNT","SCHUNT","parental strains",9,2,"E64"
"Schweben 2","dom","SCHUNT_SCHUNT","SY",5726,36,"SCHUNT","SY",5725,36,2018-05-07,6,5,"2","3","EX",986,"F","37","1F","7.12",10.94,"L2",NA,"","SCHUNT","SCHUNT","parental strains",9,2,"E64"
"SCHUNT x STRA","dom","SCHUNT_STRA","SY",3472,36,"STRA","SY",7281,56,2018-04-10,4,7,"5","2","EX",812,"M","F1","1M","5.89",10.69,"L2",NA,"","SCHUNT","STRA","outbred hybrids",12.8571428571429,1,"E64"
"SCHUNT x STRA","dom","SCHUNT_STRA","SY",3472,36,"STRA","SY",7281,56,2018-04-10,4,7,"5","2","EX",813,"M","F1","1M","5.52",9.89,"L3",NA,"","SCHUNT","STRA","outbred hybrids",12.8571428571429,1,"E88"
"SCHUNT x STRA","dom","SCHUNT_STRA","SY",3472,36,"STRA","SY",7281,56,2018-04-10,4,7,"5","2","EX",814,"M","F1","1M","6.05",10.55,"L4",NA,"","SCHUNT","STRA","outbred hybrids",12.8571428571429,1,"E64"
"SCHUNT x STRA","dom","SCHUNT_STRA","SY",3472,36,"STRA","SY",7281,56,2018-04-10,4,7,"5","2","EX",815,"F","F1","1F","6.07",10.81,"P3",NA,"","SCHUNT","STRA","outbred hybrids",12.8571428571429,2,"E64"
"SCHUNT x STRA","dom","SCHUNT_STRA","SY",3472,36,"STRA","SY",7281,56,2018-04-10,4,7,"5","2","EX",816,"F","F1","1F","6.10",10.96,"P2",NA,"","SCHUNT","STRA","outbred hybrids",12.8571428571429,2,"E64"
"SCHUNT x STRA","dom","SCHUNT_STRA","SY",3472,36,"STRA","SY",7281,56,2018-05-06,5,5,"3","2","EX",968,"M","F1","1M","7.31",12.85,"L4",NA,"REZERVA","SCHUNT","STRA","outbred hybrids",9.14285714285714,2,"E64"
"SCHUNT x STRA","dom","SCHUNT_STRA","SY",3472,36,"STRA","SY",7281,56,2018-05-06,5,5,"3","2","EX",970,"F","F1","1F","7.68",12.47,"P3",NA,"","SCHUNT","STRA","outbred hybrids",9.14285714285714,2,"E88"
"SCHUNT x STRA","dom","SCHUNT_STRA","SY",3472,36,"STRA","SY",7281,56,2018-05-31,6,4,"1+?","2+?","EX",1133,"F","F1","1F","8.69",14.01,"L2",NA,"REZERVA","SCHUNT","STRA","outbred hybrids",5.57142857142857,2,"E88"
"STRA x BUSNA","dom x mus","STRA_BUSNA","SY",6346,55,"BUSNA","SY",6111,60,2018-03-07,2,5,"2","3","EX",658,"M","F1","1M","7.96",10.43,"P2",NA,"","STRA","BUSNA","inter subsp. hybrids",17.7142857142857,1,"E64"
"STRA x BUSNA","dom x mus","STRA_BUSNA","SY",6346,55,"BUSNA","SY",6111,60,2018-03-07,2,5,"2","3","EX",659,"M","F1","1M","7.57",10.51,"P3",NA,"","STRA","BUSNA","inter subsp. hybrids",17.7142857142857,1,"E88"
"STRA x BUSNA","dom x mus","STRA_BUSNA","SY",6346,55,"BUSNA","SY",6111,60,2018-03-07,2,5,"2","3","EX",660,"F","F1","1F","7.91",10.95,"L2",NA,"","STRA","BUSNA","inter subsp. hybrids",17.7142857142857,1,"E88"
"STRA x BUSNA","dom x mus","STRA_BUSNA","SY",6346,55,"BUSNA","SY",6111,60,2018-03-07,2,5,"2","3","EX",661,"F","F1","1F","7.89",10.41,"L3",NA,"","STRA","BUSNA","inter subsp. hybrids",17.7142857142857,2,"E64"
"STRA x BUSNA","dom x mus","STRA_BUSNA","SY",6346,55,"BUSNA","SY",6111,60,2018-03-07,2,5,"2","3","EX",662,"F","F1","1F","7.71",10.34,"L4",NA,"","STRA","BUSNA","inter subsp. hybrids",17.7142857142857,2,"E64"
"STRA x BUSNA","dom x mus","STRA_BUSNA","SY",6458,55,"BUSNA","SY",5143,59,2018-03-13,1,9,"8","1","EX",681,"M","F1","1M","6.85",11.14,"L2",NA,"","STRA","BUSNA","inter subsp. hybrids",16.8571428571429,2,"E88"
"STRA x BUSNA","dom x mus","STRA_BUSNA","SY",6346,55,"BUSNA","SY",6111,60,2018-04-20,3,7,"2","5","EX",868,"M","F1","1M","7.61",12.58,"L2",NA,"REZERVA","STRA","BUSNA","inter subsp. hybrids",11.4285714285714,2,"E88"
"STRA x BUSNA","dom x mus","STRA_BUSNA","SY",6346,55,"BUSNA","SY",6111,60,2018-04-20,3,7,"2","5","EX",869,"F","F1","1F","7.32",12.31,"P2",NA,"REZERVA","STRA","BUSNA","inter subsp. hybrids",11.4285714285714,2,"E64"
"STRA x SCHUNT","dom","STRA_SCHUNT","SY",5825,55,"SCHUNT","SY",3470,36,2018-03-21,3,11,"7","4","EX",709,"M","F1","1M","5.74",11.35,"P2",NA,"","STRA","SCHUNT","outbred hybrids",15.7142857142857,1,"E64"
"STRA x SCHUNT","dom","STRA_SCHUNT","SY",5825,55,"SCHUNT","SY",3470,36,2018-03-21,3,11,"7","4","EX",710,"M","F1","1M","6.10",11.95,"P3",NA,"","STRA","SCHUNT","outbred hybrids",15.7142857142857,1,"E88"
"STRA x SCHUNT","dom","STRA_SCHUNT","SY",5825,55,"SCHUNT","SY",3470,36,2018-03-21,3,11,"7","4","EX",711,"M","F1","1M","5.83",11.56,"P4",NA,"","STRA","SCHUNT","outbred hybrids",15.7142857142857,1,"E64"
"STRA x SCHUNT","dom","STRA_SCHUNT","SY",5825,55,"SCHUNT","SY",3470,36,2018-03-21,3,11,"7","4","EX",712,"F","F1","1F","6.01",11.23,"P5",NA,"","STRA","SCHUNT","outbred hybrids",15.7142857142857,2,"E88"
"STRA x SCHUNT","dom","STRA_SCHUNT","SY",5825,55,"SCHUNT","SY",3470,36,2018-03-21,3,11,"7","4","EX",713,"F","F1","1F","6.31",11.58,"L2",NA,"","STRA","SCHUNT","outbred hybrids",15.7142857142857,2,"E64"
"STRA x SCHUNT","dom","STRA_SCHUNT","SY",5825,55,"SCHUNT","SY",3470,36,2018-03-21,3,11,"7","4","EX",714,"F","F1","1F","5.74",10.88,"L3",NA,"","STRA","SCHUNT","outbred hybrids",15.7142857142857,2,"E64"
"STRA x SCHUNT","dom","STRA_SCHUNT","SY",5825,55,"SCHUNT","SY",3470,36,2018-05-02,4,10,"6","4","EX",935,"M","F1","1M","7.69",13.66,"P4",NA,"REZERVA","STRA","SCHUNT","outbred hybrids",9.71428571428571,2,"E88"
"STRA x SCHUNT","dom","STRA_SCHUNT","SY",5825,55,"SCHUNT","SY",3470,36,2018-05-02,4,10,"6","4","EX",936,"F","F1","1F","7.62",12.83,"P5",NA,"REZERVA","STRA","SCHUNT","outbred hybrids",9.71428571428571,2,"E88"
"Straas2","dom","STRA_STRA","SY",8113,56,"STRA","SY",8111,56,2018-04-03,1,9,"2","7","EX",768,"M","57","1M","5.75",9.42,"L3",NA,"","STRA","STRA","parental strains",13.8571428571429,1,"E64"
"Straas2","dom","STRA_STRA","SY",4827,55,"STRA","SY",4823,55,2018-04-03,3,7,"2","5","EX",773,"M","56","1M","7.05",11.98,"P2",NA,"","STRA","STRA","parental strains",13.8571428571429,1,"E88"
"Straas2","dom","STRA_STRA","SY",4827,55,"STRA","SY",4823,55,2018-04-03,3,7,"2","5","EX",774,"M","56","1M","7.36",12.51,"P3",NA,"","STRA","STRA","parental strains",13.8571428571429,1,"E88"
"Straas2","dom","STRA_STRA","SY",8113,56,"STRA","SY",8111,56,2018-04-03,1,9,"2","7","EX",770,"F","57","1F","6.26",9.83,"P3",NA,"","STRA","STRA","parental strains",13.8571428571429,1,"E88"
"Straas2","dom","STRA_STRA","SY",8113,56,"STRA","SY",8111,56,2018-04-03,1,9,"2","7","EX",771,"F","57","1F","5.98",9.87,"P4",NA,"","STRA","STRA","parental strains",13.8571428571429,1,"E64"
