"PIN","Locality","Genome","Strain","IDD","Dam","Gen","Sir","IDS","Sir.1","Gen.1","Born","Fpar","LS","MM","FF","ID","Sex","Gen.2","Wean","BW10","BW20","Clip","Departure","X","NOTE","Exp_ID","prelim_labels","date","EH_ID","original label"
8505,"Prague","mus","PWD","SY",5675,42,"PWD","SY",5674,42,"02/10/2018",2,6,3,1,"SY","M",43,"1M",3.61,5.04,"P2","04/20/2018","","was SY male 8595","Exp004",10,"10/05/18",NA,"SY M 8505 G43 P2"
8505,"Prague","mus","PWD","SY",5675,42,"PWD","SY",5674,42,"02/10/2018",2,6,3,1,"SY","M",43,"1M",3.61,5.04,"P2","04/20/2018","","was SY male 8595","Exp004",10,"07/05/18",NA,"SY M 8505 G43 P2"
8510,"Prague","mus","PWD","SY",7076,42,"PWD","SY",7073,42,"02/10/2018",1,6,2,4,"SY","M",43,"1M",2.89,4.16,"L2","04/20/2018","isolation 12. 3. 18","","Exp004",19,"10/05/18",NA,"SY M 8510 G43 L2"
8510,"Prague","mus","PWD","SY",7076,42,"PWD","SY",7073,42,"02/10/2018",1,6,2,4,"SY","M",43,"1M",2.89,4.16,"L2","04/20/2018","isolation 12. 3. 18","","Exp004",19,"07/05/18",NA,"SY M 8510 G43 L2"
8511,"Prague","mus","PWD","SY",7076,42,"PWD","SY",7073,42,"02/10/2018",1,6,2,4,"SY","M",43,"1M",2.6,3.72,"L3","04/20/2018","isolation 12. 3. 18","","Exp004",27,"07/05/18",NA,"SY M 8511 G43 L3"
8511,"Prague","mus","PWD","SY",7076,42,"PWD","SY",7073,42,"02/10/2018",1,6,2,4,"SY","M",43,"1M",2.6,3.72,"L3","04/20/2018","isolation 12. 3. 18","","Exp004",27,"10/05/18",NA,"SY M 8511 G43 L3"
8513,"Prague","mus","PWD","SY",7076,42,"PWD","SY",7073,42,"02/10/2018",1,6,2,4,"SY","F",43,"1F",2.74,4.32,"L5","04/20/2018","isolation 12. 3. 18","","Exp004",32,"07/05/18",NA,"SY F 8513 G43 L5"
8513,"Prague","mus","PWD","SY",7076,42,"PWD","SY",7073,42,"02/10/2018",1,6,2,4,"SY","F",43,"1F",2.74,4.32,"L5","04/20/2018","isolation 12. 3. 18","","Exp004",32,"10/05/18",NA,"SY F 8513 G43 L5"
8514,"Prague","mus","PWD","SY",7076,42,"PWD","SY",7073,42,"02/10/2018",1,6,2,4,"SY","F",43,"1F",2.8,4.35,"P2","04/20/2018","isolation 12. 3. 18","","Exp004",3,"10/05/18",NA,"SY F 8514 G43 P2"
8514,"Prague","mus","PWD","SY",7076,42,"PWD","SY",7073,42,"02/10/2018",1,6,2,4,"SY","F",43,"1F",2.8,4.35,"P2","04/20/2018","isolation 12. 3. 18","","Exp004",3,"07/05/18",NA,"SY F 8514 G43 P2"
8515,"Prague","mus","PWD","SY",7076,42,"PWD","SY",7073,42,"02/10/2018",1,6,2,4,"SY","F",43,"1F",2.52,3.83,"P3","04/20/2018","isolation 12. 3. 18","","Exp004",26,"10/05/18",NA,"SY F 8515 G43 P3"
8515,"Prague","mus","PWD","SY",7076,42,"PWD","SY",7073,42,"02/10/2018",1,6,2,4,"SY","F",43,"1F",2.52,3.83,"P3","04/20/2018","isolation 12. 3. 18","","Exp004",26,"07/05/18",NA,"SY F 8515 G43 P3"
8612,"Buskovice","mus","BUSNA","SY",7196,60,"BUSNA","SY",7192,60,"14/2/18",1,3,2,0,"SY","M",61,"1M",5.75,7.89,"P2","04/20/2018","","","Exp004",30,"07/05/18",NA,"SY M 8612 G61 P2"
8612,"Buskovice","mus","BUSNA","SY",7196,60,"BUSNA","SY",7192,60,"14/2/18",1,3,2,0,"SY","M",61,"1M",5.75,7.89,"P2","04/20/2018","","","Exp004",30,"10/05/18",NA,"SY M 8612 G61 P2"
8613,"Buskovice","mus","BUSNA","SY",7196,60,"BUSNA","SY",7192,60,"14/2/18",1,3,2,0,"SY","M",61,"1M",5.98,8.12,"P3","04/20/2018","","","Exp004",28,"10/05/18",NA,"SY M 8613 G61 P3"
8613,"Buskovice","mus","BUSNA","SY",7196,60,"BUSNA","SY",7192,60,"14/2/18",1,3,2,0,"SY","M",61,"1M",5.98,8.12,"P3","04/20/2018","","","Exp004",28,"07/05/18",NA,"SY M 8613 G61 P3"
9339,"Straas2","dom","STRA","SY",6347,55,"STRA","SY",6343,55,"02/23/2018",1,9,4,5,"SY","M",56,"1M",6.35,10.99,"L2","04/20/2018","","","Exp004",15,"07/05/18",NA,"SY M 9339 G56 L2"
9339,"Straas2","dom","STRA","SY",6347,55,"STRA","SY",6343,55,"02/23/2018",1,9,4,5,"SY","M",56,"1M",6.35,10.99,"L2","04/20/2018","","","Exp004",15,"10/05/18",NA,"SY M 9339 G56 L2"
9616,"Buskovice","mus","BUSNA","SY",5146,59,"BUSNA","SY",5144,59,"03/06/2018",6,6,2,3,"SY","M",60,"1M",5.11,9.77,"L2","04/20/2018","","","Exp004",13,"10/05/18",NA,"SY M 9616 G60 L2"
9616,"Buskovice","mus","BUSNA","SY",5146,59,"BUSNA","SY",5144,59,"03/06/2018",6,6,2,3,"SY","M",60,"1M",5.11,9.77,"L2","04/20/2018","","","Exp004",13,"07/05/18",NA,"SY M 9616 G60 L2"
9617,"Buskovice","mus","BUSNA","SY",5146,59,"BUSNA","SY",5144,59,"03/06/2018",6,6,2,3,"SY","M",60,"1M",5.32,9.22,"L3","04/20/2018","","","Exp004",5,"07/05/18",NA,"SY M 9617 G60 L3"
9617,"Buskovice","mus","BUSNA","SY",5146,59,"BUSNA","SY",5144,59,"03/06/2018",6,6,2,3,"SY","M",60,"1M",5.32,9.22,"L3","04/20/2018","","","Exp004",5,"10/05/18",NA,"SY M 9617 G60 L3"
9618,"Buskovice","mus","BUSNA","SY",5146,59,"BUSNA","SY",5144,59,"6/3/18",6,6,2,3,"SY","F",60,"1F",4.98,9.33,"L4","04/20/2018","","","Exp004",8,"10/05/18",NA,"SY F 9618 G60 L4"
9618,"Buskovice","mus","BUSNA","SY",5146,59,"BUSNA","SY",5144,59,"6/3/18",6,6,2,3,"SY","F",60,"1F",4.98,9.33,"L4","04/20/2018","","","Exp004",8,"07/05/18",NA,"SY F 9618 G60 L4"
9619,"Buskovice","mus","BUSNA","SY",5146,59,"BUSNA","SY",5144,59,"03/06/2018",6,6,2,3,"SY","F",60,"1F",4.89,8.85,"P2","04/20/2018","isolation 7.3.18","","Exp004",2,"07/05/18",NA,"SY F 9619 G60 P2"
9619,"Buskovice","mus","BUSNA","SY",5146,59,"BUSNA","SY",5144,59,"03/06/2018",6,6,2,3,"SY","F",60,"1F",4.89,8.85,"P2","04/20/2018","isolation 7.3.18","","Exp004",2,"10/05/18",NA,"SY F 9619 G60 P2"
9620,"Buskovice","mus","BUSNA","SY",5146,59,"BUSNA","SY",5144,59,"03/06/2018",6,6,2,3,"SY","F",60,"1F",5.5,9.36,"P3","04/20/2018","isolation 7.3.18","","Exp004",4,"10/05/18",NA,"SY F 9620 G60 P3"
9620,"Buskovice","mus","BUSNA","SY",5146,59,"BUSNA","SY",5144,59,"03/06/2018",6,6,2,3,"SY","F",60,"1F",5.5,9.36,"P3","04/20/2018","isolation 7.3.18","","Exp004",4,"07/05/18",NA,"SY F 9620 G60 P3"
