labels,EH_ID,dpi,weight,weight_dpi0,weightloss,fecweight,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,oocyst_mean,dilution,OPG,Spleen,Thymus,Caecum,Mesentery,Leukocytes,Eosinophils,Neutrophils
GXY,LM0286,0,,,0,,,,,,,,,,,,,,,
COP,LM0288,0,,,0,,,,,,,,,,,,,,,
DIP,LM0289,0,,,0,,,,,,,,,,,,,,,
EGK,LM0292,0,,,0,,,,,,,,,,,,,,,
ILQ,LM0293,0,,,0,,,,,,,,,,,,,,,
FJW,LM0227,1,,,0,,,,,,,,,,,,,,,
FHT,LM0228,1,,,0,,,,,,,,,,,,,,,
CIK,LM0231,1,,,0,,,,,,,,,,,,,,,
GHS,LM0234,1,,,0,,,,,,,,,,,,,,,
HKM,LM0235,1,,,0,,,,,,,,,,,,,,,
TXZ,LM0236,1,,,0,,,,,,,,,,,,,,,
GIQ,LM0238,1,,,0,,,,,,,,,,,,,,,
BDI,LM0240,1,,,0,,,,,,,,,,,,,,,
AFN,LM0248,1,,,0,,,,,,,,,,,,,,,
IMU,LM0249,1,,,0,,,,,,,,,,,,,,,
AIR,LM0255,1,,,0,,,,,,,,,,,,,,,
BEF,LM0257,1,,,0,,,,,,,,,,,,,,,
OPZ,LM0258,1,,,0,,,,,,,,,,,,,,,
FGV,LM0259,1,,,0,,,,,,,,,,,,,,,
RSU,LM0260,1,,,0,,,,,,,,,,,,,,,
HKS,LM0262,1,,,0,,,,,,,,,,,,,,,
AKS,LM0263,1,,,0,,,,,,,,,,,,,,,
PQY,LM0265,1,,,0,,,,,,,,,,,,,,,
HJW,LM0269,1,,,0,,,,,,,,,,,,,,,
OSZ,LM0270,1,,,0,,,,,,,,,,,,,,,
HIY,LM0279,1,,,0,,,,,,,,,,,,,,,
OSY,LM0280,1,,,0,,,,,,,,,,,,,,,
FMN,LM0284,1,,,0,,,,,,,,,,,,,,,
ACW,LM0285,1,,,0,,,,,,,,,,,,,,,
DFL,LM0287,1,,,0,,,,,,,,,,,,,,,
EMP,LM0291,1,,,0,,,,,,,,,,,,,,,
RSW,LM0294,1,,,0,,,,,,,,,,,,,,,
ADF,LM0295,1,,,0,,,,,,,,,,,,,,,
ABG,LM0229,1,,,0,,,,,,,,,,,,,,,
HNS,LM0232,1,,,0,,,,,,,,,,,,,,,
FKW,LM0233,1,,,0,,,,,,,,,,,,,,,
GVW,LM0239,1,,,0,,,,,,,,,,,,,,,
HOY,LM0247,1,,,0,,,,,,,,,,,,,,,
KNZ,LM0251,1,,,0,,,,,,,,,,,,,,,
IUV,LM0254,1,,,0,,,,,,,,,,,,,,,
AGS,LM0256,1,,,0,,,,,,,,,,,,,,,
CLZ,LM0261,1,,,0,,,,,,,,,,,,,,,
AJT,LM0264,1,,,0,,,,,,,,,,,,,,,
JTV,LM0266,1,,,0,,,,,,,,,,,,,,,
CPW,LM0268,1,,,0,,,,,,,,,,,,,,,
HKT,LM0271,1,,,0,,,,,,,,,,,,,,,
EWX,LM0272,1,,,0,,,,,,,,,,,,,,,
OSX,LM0273,1,,,0,,,,,,,,,,,,,,,
GPT,LM0275,1,,,0,,,,,,,,,,,,,,,
ABW,LM0276,1,,,0,,,,,,,,,,,,,,,
ADS,LM0277,1,,,0,,,,,,,,,,,,,,,
LMV,LM0278,1,,,0,,,,,,,,,,,,,,,
GLS,LM0282,1,,,0,,,,,,,,,,,,,,,
KPU,LM0283,1,,,0,,,,,,,,,,,,,,,
DGQ,LM0286,1,,,0,,,,,,,,,,,,,,,
LPW,LM0288,1,,,0,,,,,,,,,,,,,,,
AKL,LM0289,1,,,0,,,,,,,,,,,,,,,
BLW,LM0292,1,,,0,,,,,,,,,,,,,,,
ATW,LM0293,1,,,0,,,,,,,,,,,,,,,
ALV,LM0227,2,,,0,,,,,,,,,,,,,,,
CRZ,LM0228,2,,,0,,,,,,,,,,,,,,,
ANS,LM0231,2,,,0,,,,,,,,,,,,,,,
JMZ,LM0234,2,,,0,,,,,,,,,,,,,,,
EHM,LM0235,2,,,0,,,,,,,,,,,,,,,
PRV,LM0236,2,,,0,,,,,,,,,,,,,,,
GMW,LM0238,2,,,0,,,,,,,,,,,,,,,
ACZ,LM0240,2,,,0,,,,,,,,,,,,,,,
FJR,LM0248,2,,,0,,,,,,,,,,,,,,,
FMR,LM0249,2,,,0,,,,,,,,,,,,,,,
FGM,LM0255,2,,,0,,,,,,,,,,,,,,,
EJP,LM0257,2,,,0,,,,,,,,,,,,,,,
CGS,LM0258,2,,,0,,,,,,,,,,,,,,,
AFV,LM0259,2,,,0,,,,,,,,,,,,,,,
RTX,LM0260,2,,,0,,,,,,,,,,,,,,,
CFV,LM0262,2,,,0,,,,,,,,,,,,,,,
DHI,LM0263,2,,,0,,,,,,,,,,,,,,,
BKY,LM0265,2,,,0,,,,,,,,,,,,,,,
EIV,LM0269,2,,,0,,,,,,,,,,,,,,,
AOZ,LM0270,2,,,0,,,,,,,,,,,,,,,
STZ,LM0279,2,,,0,,,,,,,,,,,,,,,
FJY,LM0280,2,,,0,,,,,,,,,,,,,,,
CRX,LM0284,2,,,0,,,,,,,,,,,,,,,
BIT,LM0285,2,,,0,,,,,,,,,,,,,,,
ELU,LM0287,2,,,0,,,,,,,,,,,,,,,
PXY,LM0291,2,,,0,,,,,,,,,,,,,,,
BGP,LM0294,2,,,0,,,,,,,,,,,,,,,
CGI,LM0295,2,,,0,,,,,,,,,,,,,,,
BIO,LM0229,2,,,0,,,,,,,,,,,,,,,
AGP,LM0232,2,,,0,,,,,,,,,,,,,,,
DQW,LM0233,2,,,0,,,,,,,,,,,,,,,
HPY,LM0239,2,,,0,,,,,,,,,,,,,,,
FHS,LM0247,2,,,0,,,,,,,,,,,,,,,
DOT,LM0251,2,,,0,,,,,,,,,,,,,,,
BQR,LM0254,2,,,0,,,,,,,,,,,,,,,
BSU,LM0256,2,,,0,,,,,,,,,,,,,,,
DMN,LM0261,2,,,0,,,,,,,,,,,,,,,
OQT,LM0264,2,,,0,,,,,,,,,,,,,,,
JUV,LM0266,2,,,0,,,,,,,,,,,,,,,
EIU,LM0268,2,,,0,,,,,,,,,,,,,,,
BEW,LM0271,2,,,0,,,,,,,,,,,,,,,
CKS,LM0272,2,,,0,,,,,,,,,,,,,,,
GTV,LM0273,2,,,0,,,,,,,,,,,,,,,
AFK,LM0275,2,,,0,,,,,,,,,,,,,,,
BDP,LM0276,2,,,0,,,,,,,,,,,,,,,
BRZ,LM0277,2,,,0,,,,,,,,,,,,,,,
QVX,LM0278,2,,,0,,,,,,,,,,,,,,,
RWX,LM0282,2,,,0,,,,,,,,,,,,,,,
FJN,LM0283,2,,,0,,,,,,,,,,,,,,,
DFQ,LM0286,2,,,0,,,,,,,,,,,,,,,
DHV,LM0288,2,,,0,,,,,,,,,,,,,,,
KQZ,LM0289,2,,,0,,,,,,,,,,,,,,,
EHI,LM0292,2,,,0,,,,,,,,,,,,,,,
JNY,LM0293,2,,,0,,,,,,,,,,,,,,,
IPS,LM0227,3,,,0,,,,,,,,,,,,,,,
CWZ,LM0228,3,,,0,,,,,,,,,,,,,,,
BMW,LM0231,3,,,0,,,,,,,,,,,,,,,
EKV,LM0234,3,,,0,,,,,,,,,,,,,,,
QUZ,LM0235,3,,,0,,,,,,,,,,,,,,,
ADG,LM0236,3,,,0,,,,,,,,,,,,,,,
KUZ,LM0238,3,,,0,,,,,,,,,,,,,,,
EKX,LM0240,3,,,0,,,,,,,,,,,,,,,
QTX,LM0248,3,,,0,,,,,,,,,,,,,,,
LNU,LM0249,3,,,0,,,,,,,,,,,,,,,
DFU,LM0255,3,,,0,,,,,,,,,,,,,,,
LOW,LM0257,3,,,0,,,,,,,,,,,,,,,
FYZ,LM0258,3,,,0,,,,,,,,,,,,,,,
GTW,LM0259,3,,,0,,,,,,,,,,,,,,,
ITX,LM0260,3,,,0,,,,,,,,,,,,,,,
NRV,LM0262,3,,,0,,,,,,,,,,,,,,,
QRT,LM0263,3,,,0,,,,,,,,,,,,,,,
EIS,LM0265,3,,,0,,,,,,,,,,,,,,,
MNP,LM0269,3,,,0,,,,,,,,,,,,,,,
ARS,LM0270,3,,,0,,,,,,,,,,,,,,,
QSV,LM0279,3,,,0,,,,,,,,,,,,,,,
NXY,LM0280,3,,,0,,,,,,,,,,,,,,,
FMV,LM0284,3,,,0,,,,,,,,,,,,,,,
CHZ,LM0285,3,,,0,,,,,,,,,,,,,,,
AST,LM0287,3,,,0,,,,,,,,,,,,,,,
HLV,LM0291,3,,,0,,,,,,,,,,,,,,,
NOQ,LM0294,3,,,0,,,,,,,,,,,,,,,
DMR,LM0295,3,,,0,,,,,,,,,,,,,,,
AIO,LM0229,3,,,0,,,,,,,,,,,,,,,
GIU,LM0232,3,,,0,,,,,,,,,,,,,,,
ERY,LM0233,3,,,0,,,,,,,,,,,,,,,
EFQ,LM0239,3,,,0,,,,,,,,,,,,,,,
BKM,LM0247,3,,,0,,,,,,,,,,,,,,,
GLO,LM0251,3,,,0,,,,,,,,,,,,,,,
CHI,LM0254,3,,,0,,,,,,,,,,,,,,,
KNQ,LM0256,3,,,0,,,,,,,,,,,,,,,
DTW,LM0261,3,,,0,,,,,,,,,,,,,,,
ENV,LM0264,3,,,0,,,,,,,,,,,,,,,
GRV,LM0266,3,,,0,,,,,,,,,,,,,,,
AWZ,LM0268,3,,,0,,,,,,,,,,,,,,,
ACO,LM0271,3,,,0,,,,,,,,,,,,,,,
LQW,LM0272,3,,,0,,,,,,,,,,,,,,,
CLX,LM0273,3,,,0,,,,,,,,,,,,,,,
UWZ,LM0275,3,,,0,,,,,,,,,,,,,,,
ESY,LM0276,3,,,0,,,,,,,,,,,,,,,
ABP,LM0277,3,,,0,,,,,,,,,,,,,,,
KMP,LM0278,3,,,0,,,,,,,,,,,,,,,
AUW,LM0282,3,,,0,,,,,,,,,,,,,,,
BMR,LM0283,3,,,0,,,,,,,,,,,,,,,
DKV,LM0286,3,,,0,,,,,,,,,,,,,,,
AEG,LM0288,3,,,0,,,,,,,,,,,,,,,
CER,LM0289,3,,,0,,,,,,,,,,,,,,,
SYZ,LM0292,3,,,0,,,,,,,,,,,,,,,
AHT,LM0293,3,,,0,,,,,,,,,,,,,,,
ELZ,LM0227,4,,,0,,,,,,,,,,,,,,,
BJR,LM0228,4,,,0,,,,,,,,,,,,,,,
BCE,LM0231,4,,,0,,,,,,,,,,,,,,,
CET,LM0234,4,,,0,,,,,,,,,,,,,,,
DHL,LM0235,4,,,0,,,,,,,,,,,,,,,
BHI,LM0236,4,,,0,,,,,,,,,,,,,,,
INU,LM0238,4,,,0,,,,,,,,,,,,,,,
KMQ,LM0240,4,,,0,,,,,,,,,,,,,,,
AQW,LM0248,4,,,0,,,,,,,,,,,,,,,
MPU,LM0249,4,,,0,,,,,,,,,,,,,,,
CHX,LM0255,4,,,0,,,,,,,,,,,,,,,
DHX,LM0257,4,,,0,,,,,,,,,,,,,,,
AEQ,LM0258,4,,,0,,,,,,,,,,,,,,,
DKW,LM0259,4,,,0,,,,,,,,,,,,,,,
GIT,LM0260,4,,,0,,,,,,,,,,,,,,,
BKV,LM0262,4,,,0,,,,,,,,,,,,,,,
BIJ,LM0263,4,,,0,,,,,,,,,,,,,,,
FGW,LM0265,4,,,0,,,,,,,,,,,,,,,
SUZ,LM0269,4,,,0,,,,,,,,,,,,,,,
BTZ,LM0270,4,,,0,,,,,,,,,,,,,,,
BHX,LM0279,4,,,0,,,,,,,,,,,,,,,
HKN,LM0280,4,,,0,,,,,,,,,,,,,,,
KLT,LM0284,4,,,0,,,,,,,,,,,,,,,
CMQ,LM0285,4,,,0,,,,,,,,,,,,,,,
EPQ,LM0287,4,,,0,,,,,,,,,,,,,,,
FXZ,LM0291,4,,,0,,,,,,,,,,,,,,,
LPQ,LM0294,4,,,0,,,,,,,,,,,,,,,
DRT,LM0295,4,,,0,,,,,,,,,,,,,,,
LUV,LM0229,4,,,0,,,,,,,,,,,,,,,
BFJ,LM0232,4,,,0,,,,,,,,,,,,,,,
IMR,LM0233,4,,,0,,,,,,,,,,,,,,,
KMO,LM0239,4,,,0,,,,,,,,,,,,,,,
GOV,LM0247,4,,,0,,,,,,,,,,,,,,,
AMS,LM0251,4,,,0,,,,,,,,,,,,,,,
DMP,LM0254,4,,,0,,,,,,,,,,,,,,,
JRX,LM0256,4,,,0,,,,,,,,,,,,,,,
CFZ,LM0261,4,,,0,,,,,,,,,,,,,,,
IJR,LM0264,4,,,0,,,,,,,,,,,,,,,
FLN,LM0266,4,,,0,,,,,,,,,,,,,,,
DGZ,LM0268,4,,,0,,,,,,,,,,,,,,,
AGI,LM0271,4,,,0,,,,,,,,,,,,,,,
CTU,LM0272,4,,,0,,,,,,,,,,,,,,,
BQV,LM0273,4,,,0,,,,,,,,,,,,,,,
ABL,LM0275,4,,,0,,,,,,,,,,,,,,,
PVZ,LM0276,4,,,0,,,,,,,,,,,,,,,
SWZ,LM0277,4,,,0,,,,,,,,,,,,,,,
GVY,LM0278,4,,,0,,,,,,,,,,,,,,,
FGZ,LM0282,4,,,0,,,,,,,,,,,,,,,
CGR,LM0283,4,,,0,,,,,,,,,,,,,,,
BNT,LM0286,4,,,0,,,,,,,,,,,,,,,
JOZ,LM0288,4,,,0,,,,,,,,,,,,,,,
IRU,LM0289,4,,,0,,,,,,,,,,,,,,,
SXY,LM0292,4,,,0,,,,,,,,,,,,,,,
BNW,LM0293,4,,,0,,,,,,,,,,,,,,,
RTY,LM0227,5,,,0,,,,,,,,,,,,,,,
ESW,LM0228,5,,,0,,,,,,,,,,,,,,,
COV,LM0231,5,,,0,,,,,,,,,,,,,,,
AEJ,LM0234,5,,,0,,,,,,,,,,,,,,,
EFL,LM0235,5,,,0,,,,,,,,,,,,,,,
EQV,LM0236,5,,,0,,,,,,,,,,,,,,,
KST,LM0238,5,,,0,,,,,,,,,,,,,,,
MQW,LM0240,5,,,0,,,,,,,,,,,,,,,
AMX,LM0248,5,,,0,,,,,,,,,,,,,,,
GWZ,LM0249,5,,,0,,,,,,,,,,,,,,,
BWZ,LM0255,5,,,0,,,,,,,,,,,,,,,
TUV,LM0257,5,,,0,,,,,,,,,,,,,,,
JXZ,LM0258,5,,,0,,,,,,,,,,,,,,,
CLS,LM0259,5,,,0,,,,,,,,,,,,,,,
JKZ,LM0260,5,,,0,,,,,,,,,,,,,,,
AMV,LM0262,5,,,0,,,,,,,,,,,,,,,
CHM,LM0263,5,,,0,,,,,,,,,,,,,,,
AFP,LM0265,5,,,0,,,,,,,,,,,,,,,
GPR,LM0269,5,,,0,,,,,,,,,,,,,,,
BGV,LM0270,5,,,0,,,,,,,,,,,,,,,
BMS,LM0279,5,,,0,,,,,,,,,,,,,,,
LQU,LM0280,5,,,0,,,,,,,,,,,,,,,
LPZ,LM0284,5,,,0,,,,,,,,,,,,,,,
IKL,LM0285,5,,,0,,,,,,,,,,,,,,,
LMS,LM0287,5,,,0,,,,,,,,,,,,,,,
DMZ,LM0291,5,,,0,,,,,,,,,,,,,,,
KTZ,LM0294,5,,,0,,,,,,,,,,,,,,,
ANY,LM0295,5,,,0,,,,,,,,,,,,,,,
CNT,LM0229,5,,,0,,,,,,,,,,,,,,,
GHN,LM0232,5,,,0,,,,,,,,,,,,,,,
FPQ,LM0233,5,,,0,,,,,,,,,,,,,,,
MOX,LM0239,5,,,0,,,,,,,,,,,,,,,
CGT,LM0247,5,,,0,,,,,,,,,,,,,,,
ADV,LM0251,5,,,0,,,,,,,,,,,,,,,
JRW,LM0254,5,,,0,,,,,,,,,,,,,,,
AOX,LM0256,5,,,0,,,,,,,,,,,,,,,
CNO,LM0261,5,,,0,,,,,,,,,,,,,,,
DIJ,LM0264,5,,,0,,,,,,,,,,,,,,,
DKO,LM0266,5,,,0,,,,,,,,,,,,,,,
ERS,LM0268,5,,,0,,,,,,,,,,,,,,,
FHQ,LM0271,5,,,0,,,,,,,,,,,,,,,
JQZ,LM0272,5,,,0,,,,,,,,,,,,,,,
MPW,LM0273,5,,,0,,,,,,,,,,,,,,,
NOU,LM0275,5,,,0,,,,,,,,,,,,,,,
EHR,LM0276,5,,,0,,,,,,,,,,,,,,,
ART,LM0277,5,,,0,,,,,,,,,,,,,,,
CIM,LM0278,5,,,0,,,,,,,,,,,,,,,
IOZ,LM0282,5,,,0,,,,,,,,,,,,,,,
QRS,LM0283,5,,,0,,,,,,,,,,,,,,,
NPX,LM0286,5,,,0,,,,,,,,,,,,,,,
BCF,LM0288,5,,,0,,,,,,,,,,,,,,,
AGL,LM0289,5,,,0,,,,,,,,,,,,,,,
BTV,LM0292,5,,,0,,,,,,,,,,,,,,,
AIZ,LM0293,5,,,0,,,,,,,,,,,,,,,
DJV,LM0229,6,,,0,,,,,,,,,,,,,,,
IJK,LM0232,6,,,0,,,,,,,,,,,,,,,
DKY,LM0233,6,,,0,,,,,,,,,,,,,,,
HJQ,LM0239,6,,,0,,,,,,,,,,,,,,,
LMO,LM0247,6,,,0,,,,,,,,,,,,,,,
MTY,LM0251,6,,,0,,,,,,,,,,,,,,,
CLW,LM0254,6,,,0,,,,,,,,,,,,,,,
ACV,LM0256,6,,,0,,,,,,,,,,,,,,,
HJM,LM0261,6,,,0,,,,,,,,,,,,,,,
FLX,LM0264,6,,,0,,,,,,,,,,,,,,,
EGN,LM0266,6,,,0,,,,,,,,,,,,,,,
FLV,LM0268,6,,,0,,,,,,,,,,,,,,,
BIQ,LM0271,6,,,0,,,,,,,,,,,,,,,
HWY,LM0272,6,,,0,,,,,,,,,,,,,,,
KPZ,LM0273,6,,,0,,,,,,,,,,,,,,,
HLP,LM0275,6,,,0,,,,,,,,,,,,,,,
RXZ,LM0276,6,,,0,,,,,,,,,,,,,,,
BIN,LM0277,6,,,0,,,,,,,,,,,,,,,
DHY,LM0278,6,,,0,,,,,,,,,,,,,,,
HNO,LM0282,6,,,0,,,,,,,,,,,,,,,
AWX,LM0283,6,,,0,,,,,,,,,,,,,,,
BGI,LM0286,6,,,0,,,,,,,,,,,,,,,
FIJ,LM0288,6,,,0,,,,,,,,,,,,,,,
NUW,LM0289,6,,,0,,,,,,,,,,,,,,,
EJO,LM0292,6,,,0,,,,,,,,,,,,,,,
CFU,LM0293,6,,,0,,,,,,,,,,,,,,,
BLY,LM0229,7,,,0,,,,,,,,,,,,,,,
GMU,LM0232,7,,,0,,,,,,,,,,,,,,,
FTZ,LM0233,7,,,0,,,,,,,,,,,,,,,
JQU,LM0239,7,,,0,,,,,,,,,,,,,,,
BEX,LM0247,7,,,0,,,,,,,,,,,,,,,
DIO,LM0251,7,,,0,,,,,,,,,,,,,,,
CDJ,LM0254,7,,,0,,,,,,,,,,,,,,,
IPZ,LM0256,7,,,0,,,,,,,,,,,,,,,
EGP,LM0261,7,,,0,,,,,,,,,,,,,,,
IJQ,LM0264,7,,,0,,,,,,,,,,,,,,,
JWY,LM0266,7,,,0,,,,,,,,,,,,,,,
FGK,LM0268,7,,,0,,,,,,,,,,,,,,,
EIR,LM0271,7,,,0,,,,,,,,,,,,,,,
LVZ,LM0272,7,,,0,,,,,,,,,,,,,,,
DIS,LM0273,7,,,0,,,,,,,,,,,,,,,
ACH,LM0275,7,,,0,,,,,,,,,,,,,,,
DTV,LM0276,7,,,0,,,,,,,,,,,,,,,
EFU,LM0277,7,,,0,,,,,,,,,,,,,,,
MQS,LM0278,7,,,0,,,,,,,,,,,,,,,
ABC,LM0282,7,,,0,,,,,,,,,,,,,,,
AJN,LM0283,7,,,0,,,,,,,,,,,,,,,
DUY,LM0286,7,,,0,,,,,,,,,,,,,,,
IKT,LM0288,7,,,0,,,,,,,,,,,,,,,
FNS,LM0289,7,,,0,,,,,,,,,,,,,,,
GHL,LM0292,7,,,0,,,,,,,,,,,,,,,
HVX,LM0293,7,,,0,,,,,,,,,,,,,,,
