"Mouse_ID","weight","weightloss","fecweight","dpi","infection_isolate","sex","Neubauer1","Neubauer2","Neubauer3","Neubauer4","mean","dilution_ml","oocysts_number","OPG"
16,36.1,0.276243093922657,2.8,4,"E88","female",NA,NA,NA,NA,NA,NA,NA,NA
17,34.6,0,2.96,4,"E88","female",NA,NA,NA,NA,NA,NA,NA,NA
18,34.4,-2.99401197604789,2.71,4,"E88","female",NA,NA,NA,NA,NA,NA,NA,NA
19,39,3.2258064516129,3.75,4,"E139","male",NA,NA,NA,NA,NA,NA,NA,NA
20,43.7,1.57657657657657,2.71,4,"E139","male",NA,NA,NA,NA,NA,NA,NA,NA
21,30.6,7.83132530120483,2.79,4,"E139","female",NA,NA,NA,NA,NA,NA,NA,NA
22,32.6,7.38636363636363,1.78,4,"E139","female",NA,NA,NA,NA,NA,NA,NA,NA
23,35.5,0,3.49,4,"E139","female",NA,NA,NA,NA,NA,NA,NA,NA
1,32.9,-1.85758513931888,2.63,5,"EfLab","female",NA,NA,NA,NA,NA,NA,NA,NA
2,38.2,-3.24324324324325,3.45,5,"EfLab","female",NA,NA,NA,NA,NA,NA,NA,NA
3,41.5,2.58215962441315,3.35,5,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
4,39.8,2.45098039215687,2.08,5,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
5,41.2,0.483091787439605,4.85,5,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
6,38.2,-1.05820105820107,3.64,5,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
7,38.9,4.42260442260444,2.43,5,"E64","male",NA,NA,NA,NA,NA,NA,NA,NA
8,41.8,1.87793427230047,4.65,5,"E64","male",NA,NA,NA,NA,NA,NA,NA,NA
9,40.3,0.982800982801002,3.6,5,"E64","male",NA,NA,NA,NA,NA,NA,NA,NA
10,30.5,-0.328947368421062,2.74,5,"E64","female",NA,NA,NA,NA,NA,NA,NA,NA
11,31.5,7.35294117647058,2.85,5,"E64","female",NA,NA,NA,NA,NA,NA,NA,NA
12,28.1,-1.07913669064748,2.69,5,"E64","female",NA,NA,NA,NA,NA,NA,NA,NA
13,37.2,3.12499999999999,4.58,5,"E88","male",NA,NA,NA,NA,NA,NA,NA,NA
15,40.5,2.64423076923077,3.22,5,"E88","male",NA,NA,NA,NA,NA,NA,NA,NA
16,35.8,1.10497237569063,2.67,5,"E88","female",NA,NA,NA,NA,NA,NA,NA,NA
17,33.6,2.89017341040463,2.55,5,"E88","female",NA,NA,NA,NA,NA,NA,NA,NA
18,34.4,-2.99401197604789,3.52,5,"E88","female",NA,NA,NA,NA,NA,NA,NA,NA
19,38.8,3.72208436724566,4.46,5,"E139","male",NA,NA,NA,NA,NA,NA,NA,NA
20,42.8,3.60360360360361,2.72,5,"E139","male",NA,NA,NA,NA,NA,NA,NA,NA
21,31.7,4.51807228915664,3.12,5,"E139","female",NA,NA,NA,NA,NA,NA,NA,NA
22,33.3,5.39772727272729,1.9,5,"E139","female",NA,NA,NA,NA,NA,NA,NA,NA
23,35.7,-0.56338028169014,3.21,5,"E139","female",NA,NA,NA,NA,NA,NA,NA,NA
1,32.5,-0.619195046439636,2.12,6,"EfLab","female",NA,NA,NA,NA,NA,NA,NA,NA
