Well,Sample Name,Detector,Task,Std_series,Ct,Ct_mean,Sd_Ct,Qty,Qty_mean,Sd_Qty,Date,Operator,Cycler,Oocyst_count,Parasite,Sample_type,Feces_weight,Qubit,NanoDrop,Extraction,Beads_weight,Tm
H4,H2O,Eimeria,NTC,,37.3601267599,37.3601267599,0,,,,90720,Victor,BioRad,0,E_falciformis,water,,,,,,
H5,H2O,Eimeria,NTC,,,0,0,,,,90720,Victor,BioRad,0,E_falciformis,water,,,,,,
H6,H2O,Eimeria,NTC,,,0,0,,,,90720,Victor,BioRad,0,E_falciformis,water,,,,,,
A1,Eimeria_10_6,Eimeria,Standard,A,14.25,13.92,0.377,2000000,,,300620,Victor,ABI,2000000,E_falciformis,Oocysts,,1.13,,Glass_beads,,
A2,Eimeria_10_6,Eimeria,Standard,A,13.99,13.92,0.377,2000000,,,300620,Victor,ABI,2000000,E_falciformis,Oocysts,,1.13,,Glass_beads,,
A3,Eimeria_10_6,Eimeria,Standard,A,13.51,13.92,0.377,2000000,,,300620,Victor,ABI,2000000,E_falciformis,Oocysts,,1.13,,Glass_beads,,
A10,Eimeria_10_6,Eimeria,Standard,B,13.84,13.59,0.327,2000000,,,300620,Victor,ABI,2000000,E_falciformis,Oocysts,,1.11,,Glass_beads,,
A11,Eimeria_10_6,Eimeria,Standard,B,13.7,13.59,0.327,2000000,,,300620,Victor,ABI,2000000,E_falciformis,Oocysts,,1.11,,Glass_beads,,
A12,Eimeria_10_6,Eimeria,Standard,B,13.22,13.59,0.327,2000000,,,300620,Victor,ABI,2000000,E_falciformis,Oocysts,,1.11,,Glass_beads,,
B1,Eimeria_10_5,Eimeria,Standard,A,16.31,15.64,0.735,200000,,,300620,Victor,ABI,200000,E_falciformis,Oocysts,,,,Glass_beads,,
B2,Eimeria_10_5,Eimeria,Standard,A,15.75,15.64,0.735,200000,,,300620,Victor,ABI,200000,E_falciformis,Oocysts,,,,Glass_beads,,
B3,Eimeria_10_5,Eimeria,Standard,A,14.85,15.64,0.735,200000,,,300620,Victor,ABI,200000,E_falciformis,Oocysts,,,,Glass_beads,,
B10,Eimeria_10_5,Eimeria,Standard,B,16.01,15.24,0.77,200000,,,300620,Victor,ABI,200000,E_falciformis,Oocysts,,,,Glass_beads,,
B11,Eimeria_10_5,Eimeria,Standard,B,15.25,15.24,0.77,200000,,,300620,Victor,ABI,200000,E_falciformis,Oocysts,,,,Glass_beads,,
B12,Eimeria_10_5,Eimeria,Standard,B,14.47,15.24,0.77,200000,,,300620,Victor,ABI,200000,E_falciformis,Oocysts,,,,Glass_beads,,
C1,Eimeria_10_4,Eimeria,Standard,A,19.78,18.75,1.187,20000,,,300620,Victor,ABI,20000,E_falciformis,Oocysts,,,,Glass_beads,,
C2,Eimeria_10_4,Eimeria,Standard,A,19.03,18.75,1.187,20000,,,300620,Victor,ABI,20000,E_falciformis,Oocysts,,,,Glass_beads,,
C3,Eimeria_10_4,Eimeria,Standard,A,17.45,18.75,1.187,20000,,,300620,Victor,ABI,20000,E_falciformis,Oocysts,,,,Glass_beads,,
C10,Eimeria_10_4,Eimeria,Standard,B,19.63,18.34,1.239,20000,,,300620,Victor,ABI,20000,E_falciformis,Oocysts,,,,Glass_beads,,
C11,Eimeria_10_4,Eimeria,Standard,B,18.24,18.34,1.239,20000,,,300620,Victor,ABI,20000,E_falciformis,Oocysts,,,,Glass_beads,,
C12,Eimeria_10_4,Eimeria,Standard,B,17.16,18.34,1.239,20000,,,300620,Victor,ABI,20000,E_falciformis,Oocysts,,,,Glass_beads,,
D1,Eimeria_10_3,Eimeria,Standard,A,23.34,22.26,1.246,2000,,,300620,Victor,ABI,2000,E_falciformis,Oocysts,,,,Glass_beads,,
D2,Eimeria_10_3,Eimeria,Standard,A,22.54,22.26,1.246,2000,,,300620,Victor,ABI,2000,E_falciformis,Oocysts,,,,Glass_beads,,
D3,Eimeria_10_3,Eimeria,Standard,A,20.89,22.26,1.246,2000,,,300620,Victor,ABI,2000,E_falciformis,Oocysts,,,,Glass_beads,,
D10,Eimeria_10_3,Eimeria,Standard,B,22.57,21.56,1.027,2000,,,300620,Victor,ABI,2000,E_falciformis,Oocysts,,,,Glass_beads,,
